State,FirstName,LastName,Party,Age,Birthday
California,Dianne,Feinstein,Democratic,87,6/22/33
Iowa,Chuck,Grassley,Republican,87,9/17/33
Alabama,Richard,Shelby,Republican,86,5/6/34
Oklahoma,Jim,Inhofe,Republican,86,11/17/34
Vermont,Patrick,Leahy,Democratic,80,3/31/40
Vermont,Bernie,Sanders,Independent - Dem Caucus,79,9/8/41
Kentucky,Mitch,McConnell,Republican,78,2/20/42
Idaho,Jim,Risch,Republican,77,5/3/43
Maryland,Ben,Cardin,Democratic,77,10/5/43
Maine,Angus,King,Independent - Dem Caucus,76,3/31/44
Illinois,Dick,Durbin,Democratic,76,11/21/44
Connecticut,Richard,Blumenthal,Democratic,74,2/13/46
Massachusetts,Ed,Markey,Democratic,74,7/11/46
Delaware,Tom,Carper,Democratic,74,1/23/47
New Hampshire,Jeanne,Shaheen,Democratic,74,1/28/47
Utah,Mitt,Romney,Republican,73,3/12/47
West Virginia,Joe,Manchin,Democratic,73,8/24/47
Hawaii,Mazie,Hirono,Democratic,73,11/3/47
Oregon,Ron,Wyden,Democratic,71,5/3/49
Massachusetts,Elizabeth,Warren,Democratic,71,6/22/49
Rhode Island,Jack,Reed,Democratic,71,11/12/49
Missouri,Roy,Blunt,Republican,71,1/10/50
Michigan,Debbie,Stabenow,Democratic,70,4/29/50
Washington,Patty,Murray,Democratic,70,10/11/50
New York,Chuck,Schumer,Democratic,70,11/23/50
Arkansas,John,Boozman,Republican,70,12/10/50
Nebraska,Deb,Fischer,Republican,69,3/1/51
Idaho,Mike,Crapo,Republican,69,5/20/51
Mississippi,Roger,Wicker,Republican,69,7/5/51
Louisiana,John,Kennedy,Republican,69,11/21/51
Texas,John,Cornyn,Republican,69,2/2/52
Colorado,John,Hickenlooper,Democratic,68,2/7/52
Tennessee,Marsha,Blackburn,Republican,68,6/6/52
Wyoming,John,Barrasso,Republican,68,7/21/52
Ohio,Sherrod,Brown,Democratic,68,11/9/52
Florida,Rick,Scott,Republican,68,12/1/52
Maine,Susan,Collins,Republican,68,12/7/52
West Virginia,Shelley Moore,Capito,Republican,67,11/26/53
New Jersey,Bob,Menendez,Democratic,67,1/1/54
Indiana,Mike,Braun,Republican,66,3/24/54
Kansas,Jerry,Moran,Republican,66,5/29/54
Wyoming,Cynthia,Lummis,Republican,66,9/10/54
Alabama,Tommy,Tuberville,Republican,66,9/18/54
South Dakota,Mike,Rounds,Republican,66,10/24/54
Virginia,Mark,Warner,Democratic,66,12/15/54
Wisconsin,Ron,Johnson,Republican,65,4/8/55
South Carolina,Lindsey,Graham,Republican,65,7/9/55
Rhode Island,Sheldon,Whitehouse,Democratic,65,10/20/55
North Carolina,Richard,Burr,Republican,65,11/30/55
Ohio,Rob,Portman,Republican,65,12/19/55
Montana,Jon,Tester,Democratic,64,8/21/56
Oregon,Jeff,Merkley,Democratic,64,10/24/56
North Dakota,John,Hoeven,Republican,63,3/13/57
Alaska,Lisa,Murkowski,Republican,63,5/22/57
Nevada,Jacky,Rosen,Democratic,63,8/2/57
Louisiana,Bill,Cassidy,Republican,63,9/28/57
Virginia,Tim,Kaine,Democratic,62,2/26/58
New Hampshire,Maggie,Hassan,Democratic,62,2/27/58
Minnesota,Tina,Smith,Democratic,62,3/4/58
Mississippi,Cindy,Hyde-Smith,Republican,62,5/10/58
Washington,Maria,Cantwell,Democratic,62,10/13/58
Michigan,Gary,Peters,Democratic,62,12/1/58
Maryland,Chris,Van Hollen,Democratic,62,1/10/59
Tennessee,Bill,Hagerty,Republican,61,8/14/59
Pennsylvania,Bob,Casey,Democratic,60,4/13/60
Minnesota,Amy,Klobuchar,Democratic,60,5/25/60
Kansas,Roger,Marshall,Republican,60,8/9/60
North Carolina,Thom,Tillis,Republican,60,8/30/60
South Dakota,John,Thune,Republican,60,1/7/61
North Dakota,Kevin,Cramer,Republican,60,1/21/61
Pennsylvania,Pat,Toomey,Republican,59,11/17/61
Wisconsin,Tammy,Baldwin,Democratic,58,2/11/62
Montana,Steve,Daines,Republican,58,8/20/62
Kentucky,Rand,Paul,Republican,58,1/7/63
Delaware,Chris,Coons,Democratic,57,9/9/63
Arizona,Mark,Kelly,Democratic,56,2/21/64
Nevada,Catherine,Cortez Masto,Democratic,56,3/29/64
Alaska,Dan,Sullivan,Republican,56,11/13/64
Colorado,Michael,Bennet,Democratic,56,11/28/64
South Carolina,Tim,Scott,Republican,55,9/19/65
New York,Kirsten,Gillibrand,Democratic,54,12/9/66
Oklahoma,James,Lankford,Republican,52,3/4/68
Illinois,Tammy,Duckworth,Democratic,52,3/12/68
Georgia,Raphael,Warnock,Democratic,51,7/23/79
New Jersey,Cory,Booker,Democratic,51,4/27/69
Georgia,Raphael,Warnock,Democratic,51,7/23/69
Iowa,Joni,Ernst,Republican,50,7/1/70
Texas,Ted,Cruz,Republican,50,12/22/70
Florida,Marco,Rubio,Republican,49,5/28/71
Utah,Mike,Lee,Republican,49,6/4/71
New Mexico,Martin,Heinrich,Democratic,49,10/17/71
Nebraska,Ben,Sasse,Republican,48,2/22/72
New Mexico,Ben Ray,Luján,Democratic,48,6/7/72
Indiana,Todd,Young,Republican,48,8/24/72
Hawaii,Brian,Schatz,Democratic,48,10/20/72
Connecticut,Chris,Murphy,Democratic,47,8/3/73
Arizona,Kyrsten,Sinema,Democratic,44,7/12/76
Arkansas,Tom,Cotton,Republican,43,5/13/77
Missouri,Josh,Hawley,Republican,41,12/31/79
Georgia,Jon,Ossoff,Democratic,33,2/16/87
