,SongName,ArtistName,CALLSIGN,UNIQUE_ID,TimePlayed
0,Caught Up in You,.38 Special,KGLK,KGLK1536,1970-01-01 00:00:01.402943314
1,Caught Up in You,.38 Special,KGB,KGB0260,1970-01-01 00:00:01.403398735
2,Caught Up in You,.38 Special,KGB,KGB0703,1970-01-01 00:00:01.403243924
3,Caught Up in You,.38 Special,KGLK,KGLK0036,1970-01-01 00:00:01.403470732
4,Caught Up in You,.38 Special,KGLK,KGLK0312,1970-01-01 00:00:01.403380737
5,Caught Up in You,.38 Special,KGLK,KGLK1162,1970-01-01 00:00:01.403105300
6,Caught Up in You,.38 Special,KGLK,KGLK1446,1970-01-01 00:00:01.402970932
7,Caught Up in You,.38 Special,KRFX,KRFX0060,1970-01-01 00:00:01.403456303
8,Caught Up in You,.38 Special,KRFX,KRFX1145,1970-01-01 00:00:01.403056697
9,Caught Up in You,.38 Special,KSHE,KSHE0774,1970-01-01 00:00:01.403179167
10,Caught Up in You,.38 Special,KSHE,KSHE1379,1970-01-01 00:00:01.402912770
11,Caught Up in You,.38 Special,KZEP,KZEP0023,1970-01-01 00:00:01.403474322
12,Caught Up in You,.38 Special,KZEP,KZEP0664,1970-01-01 00:00:01.403240308
13,Caught Up in You,.38 Special,KZEP,KZEP1070,1970-01-01 00:00:01.403089127
14,Caught Up in You,.38 Special,KZEP,KZEP1338,1970-01-01 00:00:01.402963114
15,Caught Up in You,.38 Special,KZOK,KZOK0919,1970-01-01 00:00:01.402962875
16,Caught Up in You,.38 Special,KZPS,KZPS0101,1970-01-01 00:00:01.403449101
17,Caught Up in You,.38 Special,KZPS,KZPS0229,1970-01-01 00:00:01.403402286
18,Caught Up in You,.38 Special,KZPS,KZPS0274,1970-01-01 00:00:01.403387913
19,Caught Up in You,.38 Special,KZPS,KZPS0392,1970-01-01 00:00:01.403348292
20,Caught Up in You,.38 Special,KZPS,KZPS0562,1970-01-01 00:00:01.403294288
21,Caught Up in You,.38 Special,KZPS,KZPS0841,1970-01-01 00:00:01.403193505
22,Caught Up in You,.38 Special,KZPS,KZPS1027,1970-01-01 00:00:01.403135911
23,Caught Up in You,.38 Special,KZPS,KZPS1185,1970-01-01 00:00:01.403074689
24,Caught Up in You,.38 Special,KZPS,KZPS1344,1970-01-01 00:00:01.402991912
25,Caught Up in You,.38 Special,KZPS,KZPS1540,1970-01-01 00:00:01.402923508
26,Caught Up in You,.38 Special,WAXQ,WAXQ0199,1970-01-01 00:00:01.403398708
27,Caught Up in You,.38 Special,WBGG,WBGG0259,1970-01-01 00:00:01.403398718
28,Caught Up in You,.38 Special,WBGG,WBGG0982,1970-01-01 00:00:01.403132293
29,Caught Up in You,.38 Special,WBIG,WBIG0110,1970-01-01 00:00:01.403445508
30,Caught Up in You,.38 Special,WBIG,WBIG0247,1970-01-01 00:00:01.403398714
