"","gender","age","mask_YesNo","fully_covering","partially_covering","non_covering","mask_front_touching","mask_strap_touching","face_touching","o_zone_touching","t_zone_touching","in_group","duration_of_observation","change","segment_crowding","study","location","activezone","unique_situation","temp_celcius"
"1",1,18,1,1,NA,0,0,0,0,99,99,1,18,0,28,2,0,0,1,17.7000007629395
"2",1,25,0,99,NA,99,99,99,0,99,99,1,23,0,28,2,0,0,1,17.7000007629395
"3",1,24,0,99,NA,99,99,99,0,99,99,1,26,0,28,2,0,0,1,17.7000007629395
"4",1,20,0,99,NA,99,99,99,0,99,99,0,13,0,28,2,0,0,1,17.7000007629395
"5",1,35,1,1,NA,0,0,0,0,99,99,0,16,0,28,2,0,0,1,17.7000007629395
"6",1,25,1,0,NA,1,1,0,0,99,99,1,16,0,28,2,0,0,1,17.7000007629395
"7",0,38,0,99,NA,99,99,99,0,99,99,1,17,0,28,2,0,0,1,17.7000007629395
"8",1,40,1,1,NA,0,0,0,0,99,99,0,17,0,9,2,0,1,2,30.5
"9",1,50,1,0,NA,1,1,0,0,99,99,1,42,1,9,2,0,1,2,30.5
"10",1,43,0,99,NA,99,99,99,0,99,99,1,19,0,9,2,0,1,2,30.5
"11",1,25,1,1,NA,0,0,0,0,99,99,1,17,0,9,2,0,1,2,30.5
"12",1,40,0,99,NA,99,99,99,0,99,99,1,46,0,9,2,0,1,2,30.5
"13",1,48,0,99,NA,99,99,99,0,99,99,0,12,0,9,2,0,1,2,30.5
"14",1,57,1,1,NA,0,0,0,0,99,99,0,10,0,9,2,0,1,2,30.5
"15",1,45,0,99,NA,99,99,99,1,1,1,0,19,0,9,2,0,1,2,30.5
"16",1,22,0,99,NA,99,99,99,0,99,99,1,15,0,9,2,0,1,2,30.5
"17",0,22,1,0,NA,1,0,0,0,99,99,1,19,0,9,2,0,1,2,30.5
"18",1,45,0,99,NA,99,99,99,0,99,99,1,17,0,9,2,0,1,2,30.5
"19",0,70,1,1,NA,0,0,0,0,99,99,0,15,0,9,2,0,1,2,30.5
"20",1,60,1,1,NA,0,0,0,0,99,99,0,13,0,11,2,0,1,3,20.7999992370605
"21",1,45,0,99,NA,99,99,99,0,99,99,0,18,0,11,2,0,1,3,20.7999992370605
"22",1,55,1,0,NA,1,0,0,0,99,99,0,11,0,11,2,0,1,3,20.7999992370605
"23",1,24,0,99,NA,99,99,99,0,99,99,0,15,0,11,2,0,1,3,20.7999992370605
"24",1,52,1,0,NA,1,0,0,0,99,99,0,29,0,11,2,0,1,3,20.7999992370605
"25",1,37,0,99,NA,99,99,99,0,99,99,0,13,0,11,2,0,1,3,20.7999992370605
"26",1,32,0,99,NA,99,99,99,0,99,99,1,17,0,11,2,0,1,3,20.7999992370605
"27",0,26,1,1,NA,0,0,0,0,99,99,1,16,0,11,2,0,1,3,20.7999992370605
"28",1,61,1,1,NA,0,0,0,0,99,99,0,12,0,11,2,0,1,3,20.7999992370605
"29",1,60,1,1,NA,0,0,0,0,99,99,0,13,0,11,2,0,1,3,20.7999992370605
"30",1,25,1,0,NA,1,0,0,0,99,99,0,13,0,11,2,0,1,3,20.7999992370605
"31",1,20,0,99,NA,99,99,99,0,99,99,0,10,0,11,2,0,1,3,20.7999992370605
