,SongName,ArtistName,CALLSIGN,UNIQUE_ID,TimePlayed,DayPlayed,DayOfWeek
0,Caught Up in You,.38 Special,KGLK,KGLK1536,2014-06-16 18:28:34,2014-06-16,Monday
1,Caught Up in You,.38 Special,KGB,KGB0260,2014-06-22 00:58:55,2014-06-22,Sunday
2,Caught Up in You,.38 Special,KGB,KGB0703,2014-06-20 05:58:44,2014-06-20,Friday
3,Caught Up in You,.38 Special,KGLK,KGLK0036,2014-06-22 20:58:52,2014-06-22,Sunday
4,Caught Up in You,.38 Special,KGLK,KGLK0312,2014-06-21 19:58:57,2014-06-21,Saturday
5,Caught Up in You,.38 Special,KGLK,KGLK1162,2014-06-18 15:28:20,2014-06-18,Wednesday
6,Caught Up in You,.38 Special,KGLK,KGLK1446,2014-06-17 02:08:52,2014-06-17,Tuesday
7,Caught Up in You,.38 Special,KRFX,KRFX0060,2014-06-22 16:58:23,2014-06-22,Sunday
8,Caught Up in You,.38 Special,KRFX,KRFX1145,2014-06-18 01:58:17,2014-06-18,Wednesday
9,Caught Up in You,.38 Special,KSHE,KSHE0774,2014-06-19 11:59:27,2014-06-19,Thursday
10,Caught Up in You,.38 Special,KSHE,KSHE1379,2014-06-16 09:59:30,2014-06-16,Monday
11,Caught Up in You,.38 Special,KZEP,KZEP0023,2014-06-22 21:58:42,2014-06-22,Sunday
12,Caught Up in You,.38 Special,KZEP,KZEP0664,2014-06-20 04:58:28,2014-06-20,Friday
13,Caught Up in You,.38 Special,KZEP,KZEP1070,2014-06-18 10:58:47,2014-06-18,Wednesday
14,Caught Up in You,.38 Special,KZEP,KZEP1338,2014-06-16 23:58:34,2014-06-16,Monday
15,Caught Up in You,.38 Special,KZOK,KZOK0919,2014-06-16 23:54:35,2014-06-16,Monday
16,Caught Up in You,.38 Special,KZPS,KZPS0101,2014-06-22 14:58:21,2014-06-22,Sunday
17,Caught Up in You,.38 Special,KZPS,KZPS0229,2014-06-22 01:58:06,2014-06-22,Sunday
18,Caught Up in You,.38 Special,KZPS,KZPS0274,2014-06-21 21:58:33,2014-06-21,Saturday
19,Caught Up in You,.38 Special,KZPS,KZPS0392,2014-06-21 10:58:12,2014-06-21,Saturday
20,Caught Up in You,.38 Special,KZPS,KZPS0562,2014-06-20 19:58:08,2014-06-20,Friday
21,Caught Up in You,.38 Special,KZPS,KZPS0841,2014-06-19 15:58:25,2014-06-19,Thursday
22,Caught Up in You,.38 Special,KZPS,KZPS1027,2014-06-18 23:58:31,2014-06-18,Wednesday
23,Caught Up in You,.38 Special,KZPS,KZPS1185,2014-06-18 06:58:09,2014-06-18,Wednesday
24,Caught Up in You,.38 Special,KZPS,KZPS1344,2014-06-17 07:58:32,2014-06-17,Tuesday
25,Caught Up in You,.38 Special,KZPS,KZPS1540,2014-06-16 12:58:28,2014-06-16,Monday
26,Caught Up in You,.38 Special,WAXQ,WAXQ0199,2014-06-22 00:58:28,2014-06-22,Sunday
27,Caught Up in You,.38 Special,WBGG,WBGG0259,2014-06-22 00:58:38,2014-06-22,Sunday
28,Caught Up in You,.38 Special,WBGG,WBGG0982,2014-06-18 22:58:13,2014-06-18,Wednesday
29,Caught Up in You,.38 Special,WBIG,WBIG0110,2014-06-22 13:58:28,2014-06-22,Sunday
30,Caught Up in You,.38 Special,WBIG,WBIG0247,2014-06-22 00:58:34,2014-06-22,Sunday
31,Caught Up in You,.38 Special,WBIG,WBIG0369,2014-06-21 10:58:15,2014-06-21,Saturday
32,Caught Up in You,.38 Special,WBIG,WBIG0491,2014-06-21 00:58:35,2014-06-21,Saturday
33,Caught Up in You,.38 Special,WBIG,WBIG0511,2014-06-20 22:58:12,2014-06-20,Friday
34,Caught Up in You,.38 Special,WBIG,WBIG0881,2014-06-19 08:58:24,2014-06-19,Thursday
35,Caught Up in You,.38 Special,WBIG,WBIG1086,2014-06-18 13:58:20,2014-06-18,Wednesday
36,Caught Up in You,.38 Special,WBIG,WBIG1476,2014-06-16 16:58:33,2014-06-16,Monday
37,Caught Up in You,.38 Special,WBIG,WBIG1632,2014-06-16 01:58:32,2014-06-16,Monday
38,Caught Up in You,.38 Special,WCSX,WCSX0005,2014-06-22 23:54:16,2014-06-22,Sunday
39,Caught Up in You,.38 Special,WCSX,WCSX0363,2014-06-21 23:54:03,2014-06-21,Saturday
40,Caught Up in You,.38 Special,WCSX,WCSX0476,2014-06-21 23:54:03,2014-06-21,Saturday
41,Caught Up in You,.38 Special,WCSX,WCSX0697,2014-06-20 23:54:07,2014-06-20,Friday
42,Caught Up in You,.38 Special,WCSX,WCSX1169,2014-06-18 23:54:03,2014-06-18,Wednesday
43,Caught Up in You,.38 Special,WCSX,WCSX1378,2014-06-17 23:54:06,2014-06-17,Tuesday
44,Caught Up in You,.38 Special,WCSX,WCSX1538,2014-06-17 23:54:07,2014-06-17,Tuesday
45,Caught Up in You,.38 Special,WDVE,WDVE0554,2014-06-20 03:58:21,2014-06-20,Friday
46,Caught Up in You,.38 Special,WDVE,WDVE0930,2014-06-18 05:58:26,2014-06-18,Wednesday
47,Caught Up in You,.38 Special,WMGK,WMGK0116,2014-06-22 23:54:21,2014-06-22,Sunday
48,Caught Up in You,.38 Special,WMGK,WMGK0619,2014-06-20 23:54:12,2014-06-20,Friday
49,Caught Up in You,.38 Special,WMGK,WMGK1211,2014-06-17 23:54:11,2014-06-17,Tuesday
50,Caught Up in You,.38 Special,WMGK,WMGK1360,2014-06-17 23:54:11,2014-06-17,Tuesday
51,Caught Up in You,.38 Special,WMGK,WMGK1534,2014-06-16 23:54:19,2014-06-16,Monday
52,Caught Up in You,.38 Special,WNCX,WNCX0347,2014-06-20 23:54:22,2014-06-20,Friday
53,Caught Up in You,.38 Special,WNCX,WNCX1006,2014-06-17 23:54:22,2014-06-17,Tuesday
54,Caught Up in You,.38 Special,WRFX,WRFX0141,2014-06-22 00:58:48,2014-06-22,Sunday
55,Caught Up in You,.38 Special,WRFX,WRFX0707,2014-06-19 14:58:46,2014-06-19,Thursday
56,Caught Up in You,.38 Special,WRFX,WRFX0991,2014-06-18 05:58:30,2014-06-18,Wednesday
57,Caught Up in You,.38 Special,WXGL,WXGL0021,2014-06-22 22:28:21,2014-06-22,Sunday
58,Caught Up in You,.38 Special,WXGL,WXGL0185,2014-06-22 07:28:16,2014-06-22,Sunday
59,Caught Up in You,.38 Special,WXGL,WXGL0315,2014-06-21 19:58:54,2014-06-21,Saturday
60,Caught Up in You,.38 Special,WXGL,WXGL0593,2014-06-20 18:28:11,2014-06-20,Friday
61,Caught Up in You,.38 Special,WXGL,WXGL0757,2014-06-20 04:28:05,2014-06-20,Friday
62,Caught Up in You,.38 Special,WXGL,WXGL0981,2014-06-19 09:58:49,2014-06-19,Thursday
63,Caught Up in You,.38 Special,WXGL,WXGL1183,2014-06-18 15:58:41,2014-06-18,Wednesday
64,Caught Up in You,.38 Special,WXGL,WXGL1342,2014-06-18 02:28:02,2014-06-18,Wednesday
65,Caught Up in You,.38 Special,WXGL,WXGL1393,2014-06-17 12:59:00,2014-06-17,Tuesday
66,Caught Up in You,.38 Special,WXGL,WXGL1739,2014-06-16 05:58:57,2014-06-16,Monday
67,Caught Up in You,.38 Special,KCFX,KCFX0409,2014-06-21 02:59:20,2014-06-21,Saturday
68,Caught Up in You,.38 Special,KCFX,KCFX0513,2014-06-20 15:59:10,2014-06-20,Friday
69,Caught Up in You,.38 Special,KCFX,KCFX0807,2014-06-19 06:59:16,2014-06-19,Thursday
70,Caught Up in You,.38 Special,KCFX,KCFX1114,2014-06-17 23:59:00,2014-06-17,Tuesday
71,Caught Up in You,.38 Special,KCFX,KCFX1344,2014-06-16 11:58:54,2014-06-16,Monday
