,year,major,stats_before,expect_like,expect_grade,programming_level,gender,height,programmed_before
0,4,Other,No,3,B,2,Female,65.0,True
1,2,Other,No,5,A,3,Male,65.0,True
2,2,Undecided,No,5,A,2,Male,69.0,True
3,3,Other,No,2,A,2,Female,66.0,True
4,2,Psychology,Yes,4,A,1,Female,69.0,False
6,2,Other,No,5,A,4,Female,68.0,True
7,3,Other,Yes,5,A,6,Male,71.0,True
8,1,Other,Yes,3,A,2,Female,66.0,True
9,2,Other,No,2,B,3,Male,74.0,True
10,3,Other,No,5,B,2,Female,62.0,True
11,2,Undecided,No,5,A,1,Female,67.0,False
12,1,Undecided,No,6,A,3,Female,66.0,True
13,2,Other,No,5,A,3,Female,70.0,True
14,2,Undecided,No,4,B,2,Female,5.5,True
15,2,Other,Yes,5,A,5,Male,68.0,True
16,2,Psychology,No,2,A,1,Male,66.0,False
17,2,Other,Yes,5,A,1,Female,66.0,False
19,2,Undecided,No,4,B,1,Female,62.0,False
20,1,Undecided,No,4,A,1,Female,70.0,False
21,4,Other,No,5,A,1,Female,65.0,False
22,2,Undecided,No,4,A,1,Female,66.0,False
23,1,Undecided,No,2,A,2,Female,65.7,True
24,1,Undecided,No,4,B,1,Female,64.0,False
25,1,Undecided,No,4,A,1,Male,71.0,False
26,2,Psychology,Yes,4,A,1,Female,165.0,False
27,1,Psychology,No,4,A,2,Female,68.0,True
28,1,Other,No,3,A,1,Female,61.0,False
29,2,Other,Yes,5,A,1,Female,64.0,False
31,3,Other,No,5,A,1,Female,64.0,False
32,2,Undecided,No,4,A,1,Female,67.0,False
33,2,Other,No,6,A,1,Female,60.0,False
34,3,Other,Yes,5,A,2,Female,65.0,True
35,2,Other,Yes,5,A,4,Female,62.0,True
36,3,Other,No,4,A,1,Female,100.0,False
37,1,Other,Yes,4,A,2,,,True
38,2,Other,Yes,4,A,3,Female,67.0,True
39,2,Undecided,No,3,A,1,Female,66.0,False
40,4,Other,No,4,A,2,Female,62.0,True
41,2,Undecided,No,4,B,4,Male,70.0,True
42,2,Undecided,No,5,B,1,Female,66.0,False
43,3,Other,Yes,5,A,2,Female,61.0,True
44,2,Undecided,No,5,A,1,Male,79.0,False
45,3,Other,No,4,A,3,Male,76.0,True
46,3,Other,No,4,B,1,Female,74.0,False
47,3,Other,Yes,5,A,4,Female,66.0,True
48,3,Other,No,5,B,2,Male,70.0,True
49,3,Other,Yes,4,A,3,Male,74.0,True
50,1,Undecided,No,6,A,2,Male,,True
51,2,Undecided,No,4,A,1,Male,70.0,False
52,3,Other,No,5,A,4,Male,68.0,True
53,2,Other,No,2,A,1,Male,71.0,False
54,1,Undecided,No,5,A,2,Male,75.0,True
55,2,Psychology,No,2,B,1,Female,68.0,False
56,2,Other,Yes,4,A,1,Female,67.0,False
57,3,Other,No,1,B,2,Male,74.0,True
58,2,Other,No,5,A,3,Female,60.0,True
59,3,Other,Yes,4,A,4,Female,60.0,True
60,1,Psychology,No,4,A,1,Female,66.5,False
62,2,Undecided,No,4,B,1,Male,76.0,False
63,1,Undecided,No,6,A,3,Female,67.0,True
64,2,Undecided,No,4,B,1,Male,74.0,False
65,2,Undecided,No,4,A,2,Female,63.0,True
66,1,Undecided,No,5,B,1,Female,67.0,False
67,1,Other,Yes,5,A,1,Female,68.0,False
68,3,Other,No,3,A,2,Male,69.0,True
69,3,Psychology,Yes,6,A,2,Female,66.0,True
70,1,Undecided,Yes,4,A,1,Female,67.0,False
71,1,Other,Yes,5,A,6,Nonbinary/other,71.0,True
72,2,Other,No,4,A,3,Male,71.0,True
73,3,Psychology,No,4,A,4,Nonbinary/other,60.0,True
74,2,Other,Yes,5,A,1,Female,64.0,False
75,4,Other,No,5,A,5,Female,71.0,True
76,2,Undecided,Yes,5,A,3,Male,72.0,True
77,1,Undecided,No,5,A,1,Male,70.0,False
78,2,Other,No,5,A,1,Female,65.0,False
79,3,Undecided,Yes,5,A,3,Female,65.0,True
80,4,Other,Yes,5,A,3,Male,67.0,True
81,4,Other,No,5,A,2,Female,63.0,True
82,4,Other,No,6,A,3,Male,71.0,True
