Season,Lg,Team,W,L,W/L%,Finish,SRS,Pace,Rel_Pace,ORtg,Rel_ORtg,DRtg,Rel_DRtg,Playoffs,Coaches,Top WS
2016-17,NBA,Denver Nuggets,40,42,0.488,4,0.7,98.3,1.9,113.2,4.4,112.7,3.9,,M. Malone (40-42),N. Jokic (9.7)
2015-16,NBA,Denver Nuggets,33,49,0.402,4,-2.81,95.7,-0.1,105.6,-0.8,108.9,2.5,,M. Malone (33-49),N. Jokic (6.7)
2014-15,NBA,Denver Nuggets,30,52,0.366,4,-3.07,96.1,2.2,104.5,-1.1,108.2,2.6,,"B. Shaw (20-39), M. Hunt (10-13)",T. Lawson (7.0)
2013-14,NBA,Denver Nuggets,36,46,0.439,4,-1.4,98.1,4.2,106,-0.7,108.2,1.5,,B. Shaw (36-46),K. Faried (6.5)
2012-13,NBA,Denver Nuggets*,57,25,0.695,2,5.37,95.1,3.1,110.4,4.5,105.1,-0.8,Lost W. Conf. 1st Rnd.,G. Karl (57-25),K. Faried (7.8)
2011-12,NBA,Denver Nuggets*,38,28,0.576,2,3.16,94.2,2.9,109.2,4.6,106.2,1.6,Lost W. Conf. 1st Rnd.,G. Karl (38-28),T. Lawson (6.9)
2010-11,NBA,Denver Nuggets*,50,32,0.61,2,4.81,95.6,3.5,112.3,5,107.3,0,Lost W. Conf. 1st Rnd.,G. Karl (50-32),N. Hilario (9.6)
2009-10,NBA,Denver Nuggets*,53,29,0.646,1,4.15,94.8,2.1,111.8,4.2,107.5,-0.1,Lost W. Conf. 1st Rnd.,G. Karl (53-29),N. Hilario (10.8)
2008-09,NBA,Denver Nuggets*,54,28,0.659,1,3.13,94.3,2.6,110.4,2.1,106.8,-1.5,Lost W. Conf. Finals,G. Karl (54-28),C. Billups (9.9)
2007-08,NBA,Denver Nuggets*,50,32,0.61,2,3.74,99.7,7.3,110,2.5,106.3,-1.2,Lost W. Conf. 1st Rnd.,G. Karl (50-32),A. Iverson (11.6)
2006-07,NBA,Denver Nuggets*,45,37,0.549,2,1.69,97.4,5.5,107.6,1.1,105.9,-0.6,Lost W. Conf. 1st Rnd.,G. Karl (45-37),M. Camby (7.6)
2005-06,NBA,Denver Nuggets*,44,38,0.537,1,0.36,93.9,3.4,105.5,-0.7,105.2,-1,Lost W. Conf. 1st Rnd.,G. Karl (44-38),C. Anthony (9.4)
2004-05,NBA,Denver Nuggets*,49,33,0.598,2,2.23,93.5,2.6,106,-0.1,103.9,-2.2,Lost W. Conf. 1st Rnd.,"J. Bzdelik (13-15), M. Cooper (4-10), G. Karl (32-8)",A. Miller (7.0)
2003-04,NBA,Denver Nuggets*,43,39,0.524,6,1.65,93.3,3.2,103.9,1,102.7,-0.2,Lost W. Conf. 1st Rnd.,J. Bzdelik (43-39),A. Miller (8.8)
2002-03,NBA,Denver Nuggets,17,65,0.207,7,-7.41,91,0,92.2,-11.4,101.3,-2.3,,J. Bzdelik (17-65),J. Howard (6.0)
2001-02,NBA,Denver Nuggets,27,55,0.329,6,-5.19,90.4,-0.3,101.4,-3.1,107.8,3.3,,"D. Issel (9-17), M. Evans (18-38)",R. LaFrentz (4.5)
2000-01,NBA,Denver Nuggets,40,42,0.488,6,-1.83,92.6,1.3,103.7,0.7,106.3,3.3,,D. Issel (40-42),A. McDyess (7.8)
2016-17,NBA,Atlanta Hawks*,43,39,0.524,2,-1.23,97.4,1,104.9,-3.9,105.7,-3.1,Lost E. Conf. 1st Rnd.,M. Budenholzer (43-39),D. Howard (8.3)
2015-16,NBA,Atlanta Hawks*,48,34,0.585,2,3.49,97.1,1.3,105.1,-1.3,101.4,-5,Lost E. Conf. Semis,M. Budenholzer (48-34),P. Millsap (10.1)
2014-15,NBA,Atlanta Hawks*,60,22,0.732,1,4.75,93.9,0,108.9,3.3,103.1,-2.5,Lost E. Conf. Finals,M. Budenholzer (60-22),A. Horford (8.7)
2013-14,NBA,Atlanta Hawks*,38,44,0.463,4,-0.88,94.6,0.7,105.9,-0.8,106.4,-0.3,Lost E. Conf. 1st Rnd.,M. Budenholzer (38-44),P. Millsap (6.7)
2012-13,NBA,Atlanta Hawks*,44,38,0.537,2,-0.08,92.6,0.6,104.8,-1.1,104.4,-1.5,Lost E. Conf. 1st Rnd.,L. Drew (44-38),A. Horford (8.8)
2011-12,NBA,Atlanta Hawks*,40,26,0.606,2,2.67,90.2,-1.1,104.9,0.3,101.2,-3.4,Lost E. Conf. 1st Rnd.,L. Drew (40-26),J. Smith (6.8)
2010-11,NBA,Atlanta Hawks*,44,38,0.537,3,-1.1,89.3,-2.8,106.1,-1.2,107,-0.3,Lost E. Conf. Semis,L. Drew (44-38),A. Horford (10.1)
2009-10,NBA,Atlanta Hawks*,53,29,0.646,2,4.44,90.1,-2.6,111.9,4.3,106.7,-0.9,Lost E. Conf. Semis,M. Woodson (53-29),A. Horford (10.9)
2008-09,NBA,Atlanta Hawks*,47,35,0.573,2,1.7,89.6,-2.1,109.3,1,107.6,-0.7,Lost E. Conf. Semis,M. Woodson (47-35),J. Johnson (7.6)
2007-08,NBA,Atlanta Hawks*,37,45,0.451,3,-2.23,91.1,-1.3,106.9,-0.6,108.9,1.4,Lost E. Conf. 1st Rnd.,M. Woodson (37-45),J. Childress (7.6)
2006-07,NBA,Atlanta Hawks,30,52,0.366,5,-4.86,90,-1.9,103,-3.5,108.3,1.8,,M. Woodson (30-52),J. Childress (5.5)
2005-06,NBA,Atlanta Hawks,26,56,0.317,5,-4.69,90.4,-0.1,106.4,0.2,111.6,5.4,,M. Woodson (26-56),J. Johnson (6.0)
2004-05,NBA,Atlanta Hawks,13,69,0.159,5,-9.62,91.4,0.5,100.6,-5.5,111.1,5,,M. Woodson (13-69),J. Childress (4.6)
2003-04,NBA,Atlanta Hawks,28,54,0.341,7,-5,90.8,0.7,101,-1.9,106.1,3.2,,T. Stotts (28-54),S. Abdur-Rahim (6.6)
2002-03,NBA,Atlanta Hawks,35,47,0.427,5,-3.87,91,0,102.3,-1.3,106.1,2.5,,"L. Kruger (11-16), T. Stotts (24-31)",S. Abdur-Rahim (9.7)
2001-02,NBA,Atlanta Hawks,33,49,0.402,6,-4.41,91.9,1.2,101.8,-2.7,106.4,1.9,,L. Kruger (33-49),J. Terry (8.6)
2000-01,NBA,Atlanta Hawks,25,57,0.305,7,-5.55,91.9,0.6,98.7,-4.3,104.3,1.3,,L. Kruger (25-57),J. Terry (6.5)
2016-17,NBA,Boston Celtics*,53,29,0.646,1,2.25,96.8,0.4,111.2,2.4,108.4,-0.4,Lost E. Conf. Finals,B. Stevens (53-29),I. Thomas (12.5)
2015-16,NBA,Boston Celtics*,48,34,0.585,2,2.84,98.5,2.7,106.8,0.4,103.6,-2.8,Lost E. Conf. 1st Rnd.,B. Stevens (48-34),I. Thomas (9.7)
2014-15,NBA,Boston Celtics*,40,42,0.488,2,-0.4,95.8,1.9,104.7,-0.9,104.5,-1.1,Lost E. Conf. 1st Rnd.,B. Stevens (40-42),T. Zeller (6.5)
2013-14,NBA,Boston Celtics,25,57,0.305,4,-4.97,93.3,-0.6,102.9,-3.8,107.7,1,,B. Stevens (25-57),B. Bass (5.1)
2012-13,NBA,Boston Celtics*,41,40,0.506,3,-0.62,91.7,-0.3,103.1,-2.8,103.3,-2.6,Lost E. Conf. 1st Rnd.,D. Rivers (41-40),P. Pierce (7.2)
2011-12,NBA,Boston Celtics*,39,27,0.591,1,2.26,90.4,-0.9,101,-3.6,98.2,-6.4,Lost E. Conf. Finals,D. Rivers (39-27),P. Pierce (7.0)
2010-11,NBA,Boston Celtics*,56,26,0.683,1,4.83,90.4,-1.7,106.2,-1.1,100.3,-7,Lost E. Conf. Semis,D. Rivers (56-26),P. Pierce (11.6)
2009-10,NBA,Boston Celtics*,50,32,0.61,1,3.37,91.6,-1.1,107.7,0.1,103.8,-3.8,Lost Finals,D. Rivers (50-32),R. Rondo (9.6)
2008-09,NBA,Boston Celtics*,62,20,0.756,1,7.44,90.4,-1.3,110.5,2.2,102.3,-6,Lost E. Conf. Semis,D. Rivers (62-20),R. Allen (11.1)
2007-08,NBA,Boston Celtics*,66,16,0.805,1,9.3,90.9,-1.5,110.2,2.7,98.9,-8.6,Won Finals,D. Rivers (66-16),K. Garnett (12.9)
2006-07,NBA,Boston Celtics,24,58,0.293,5,-3.7,92,0.1,103.2,-3.3,106.9,0.4,,D. Rivers (24-58),A. Jefferson (6.6)
2005-06,NBA,Boston Celtics,33,49,0.402,3,-1.59,92.2,1.7,105.2,-1,106.9,0.7,,D. Rivers (33-49),P. Pierce (11.5)
2004-05,NBA,Boston Celtics*,45,37,0.549,1,0.35,93.3,2.4,107.5,1.4,106.6,0.5,Lost E. Conf. 1st Rnd.,D. Rivers (45-37),P. Pierce (11.2)
2003-04,NBA,Boston Celtics*,36,46,0.439,4,-1.99,93.2,3.1,102.1,-0.8,103.7,0.8,Lost E. Conf. 1st Rnd.,"J. O'Brien (22-24), J. Carroll (14-22)",P. Pierce (7.1)
2002-03,NBA,Boston Celtics*,44,38,0.537,3,-0.75,90.9,-0.1,101.2,-2.4,101.6,-2,Lost E. Conf. Semis,J. O'Brien (44-38),P. Pierce (10.1)
