"","county","state","trumptwoparty","median_house_inc","median_age","pct_female","pct_white","pct_black","pct_hispanic","pct_evangelical","unemployment","pct_manufacturing","pct_uninsured","pct_male_married","pct_female_married","pct_no_hs","pct_hs","pct_some_coll","pct_ba","pct_grad","pct_vet","pct_foreign_born","logtotalvotes"
"1","Autauga County, Alabama","AL",75.37747,51.281,37.700001,0.51599997,0.75800002,0.185,0.026000001,0.308,0.075999998,0.141,0.101,0.58200002,0.51700002,0.12800001,0.33500001,0.30399999,0.13500001,0.097000003,0.13500001,0.016000001,10.12555
"2","Baldwin County, Alabama","AL",79.792207,50.254,42.200001,0.51200002,0.83099997,0.094999999,0.045000002,0.233,0.075000003,0.093000002,0.13,0.56699997,0.51099998,0.105,0.28799999,0.31799999,0.193,0.097000003,0.13,0.035,11.463893
"3","Barbour County, Alabama","AL",52.823246,32.964,38.799999,0.46200001,0.46200001,0.46700001,0.046,0.32800001,0.176,0.21799999,0.155,0.41600001,0.414,0.26699999,0.345,0.26300001,0.075000003,0.050000001,0.096000001,0.027000001,9.2561741
"4","Bibb County, Alabama","AL",78.239667,38.678,38.900002,0.46599999,0.745,0.214,0.022,0.36899999,0.082999997,0.19499999,0.097000003,0.477,0.505,0.193,0.421,0.27900001,0.061000001,0.046,0.067000002,0.011,9.0846634
"5","Blount County, Alabama","AL",91.381168,45.813,40.700001,0.50599998,0.87900001,0.015,0.086000003,0.25600001,0.077,0.16,0.116,0.597,0.583,0.215,0.33399999,0.322,0.086000003,0.043000001,0.098999999,0.041000001,10.149879
"6","Bullock County, Alabama","AL",24.411134,31.938,39.299999,0.47,0.222,0.70700002,0.044,0.35800001,0.18000001,0.20100001,0.18099999,0.30599999,0.27000001,0.35100001,0.333,0.177,0.064999998,0.074000001,0.050999999,0.054000001,8.4574432
"7","Butler County, Alabama","AL",56.810015,32.229,40.5,0.53299999,0.53299999,0.43799999,0.012,0.42500001,0.109,0.199,0.123,0.484,0.39199999,0.222,0.377,0.25600001,0.083999999,0.061000001,0.093000002,0.0070000002,9.0747499
"8","Calhoun County, Alabama","AL",71.279848,41.703,39.099998,0.51800001,0.73000002,0.20299999,0.035,0.40000001,0.123,0.17299999,0.119,0.505,0.461,0.191,0.31799999,0.315,0.107,0.068000004,0.12,0.026000001,10.776119
"9","Chambers County, Alabama","AL",57.554853,34.177,43,0.523,0.57300001,0.403,0.0040000002,0.41499999,0.089000002,0.255,0.139,0.46399999,0.417,0.211,0.384,0.28999999,0.075999998,0.039999999,0.092,0.011,9.5396442
"10","Cherokee County, Alabama","AL",85.266668,36.296,45.400002,0.50099999,0.917,0.048,0.015,0.31,0.079000004,0.20999999,0.098999999,0.64899999,0.59399998,0.205,0.36399999,0.29300001,0.079000004,0.059,0.113,0.0099999998,9.2810783
"11","Chilton County, Alabama","AL",83.820587,41.627,38.799999,0.50700003,0.80500001,0.102,0.075999998,0.449,0.090999998,0.142,0.16,0.565,0.523,0.21600001,0.39199999,0.25099999,0.090999998,0.050000001,0.098999999,0.052999999,9.8184195
"12","Choctaw County, Alabama","AL",56.909215,33.536,44.900002,0.52399999,0.55900002,0.42899999,0.0040000002,0.62199998,0.13600001,0.18799999,0.134,0.52700001,0.44400001,0.236,0.368,0.278,0.074000001,0.045000002,0.082999997,0.0020000001,8.8945332
"13","Clarke County, Alabama","AL",55.396074,32.011,41.099998,0.528,0.53399998,0.45300001,0.003,0.514,0.19400001,0.219,0.152,0.50199997,0.414,0.19499999,0.43900001,0.237,0.083999999,0.045000002,0.071999997,0.0049999999,9.4750862
"14","Clay County, Alabama","AL",80.916381,35.327,43.799999,0.50700003,0.79900002,0.14399999,0.032000002,0.40799999,0.093999997,0.30899999,0.14399999,0.52999997,0.51599997,0.249,0.36300001,0.292,0.057999998,0.037999999,0.107,0.021,8.7984543
"15","Cleburne County, Alabama","AL",89.39206,38.056,41.299999,0.51099998,0.92500001,0.028999999,0.023,0.32300001,0.082999997,0.198,0.13699999,0.597,0.53899997,0.249,0.38299999,0.248,0.068999998,0.050999999,0.068000004,0.015,8.7937641
"16","Coffee County, Alabama","AL",78.995818,46.729,38.799999,0.505,0.71499997,0.17200001,0.064000003,0.42399999,0.071000002,0.119,0.116,0.52700001,0.495,0.154,0.29499999,0.31299999,0.152,0.086000003,0.177,0.041999999,9.9411201
"17","Colbert County, Alabama","AL",69.606781,40.576,42.200001,0.51700002,0.78899997,0.156,0.024,0.40900001,0.090000004,0.185,0.111,0.546,0.47999999,0.161,0.345,0.30700001,0.113,0.072999999,0.094999999,0.018999999,10.123225
"18","Conecuh County, Alabama","AL",52.615386,24.9,43.700001,0.51999998,0.50999999,0.447,0.016000001,0.27900001,0.226,0.171,0.208,0.505,0.43799999,0.219,0.44499999,0.25400001,0.045000002,0.037,0.097000003,0.0099999998,8.7925501
"19","Coosa County, Alabama","AL",65.485185,31.212,45.099998,0.49399999,0.65200001,0.30700001,0.021,0.223,0.17,0.22499999,0.155,0.44100001,0.45300001,0.259,0.37599999,0.28,0.050999999,0.034000002,0.093999997,0.017999999,8.5663643
"20","Covington County, Alabama","AL",84.751499,36.444,42.599998,0.51599997,0.833,0.13,0.015,0.38699999,0.112,0.16,0.133,0.55000001,0.5,0.20200001,0.336,0.31900001,0.096000001,0.046999998,0.109,0.011,9.6765871
"21","Crenshaw County, Alabama","AL",73.061359,36.022,41.299999,0.50800002,0.70499998,0.235,0.017000001,0.45100001,0.097000003,0.21799999,0.123,0.495,0.46000001,0.22,0.38,0.257,0.1,0.043000001,0.086000003,0.024,8.7430534
"22","Cullman County, Alabama","AL",89.675701,38.971,40.5,0.505,0.92199999,0.011,0.043000001,0.36899999,0.072999999,0.163,0.15000001,0.60100001,0.55199999,0.182,0.347,0.32600001,0.090999998,0.054000001,0.090999998,0.025,10.541994
"23","Dale County, Alabama","AL",75.78069,45.028,36.799999,0.505,0.69800001,0.19400001,0.059999999,0.25099999,0.109,0.105,0.134,0.52700001,0.486,0.146,0.322,0.368,0.108,0.055,0.183,0.032000002,9.8388958
"24","Dallas County, Alabama","AL",31.081879,27.306,38.700001,0.53899997,0.28600001,0.69199997,0.003,0.528,0.164,0.19400001,0.14,0.38100001,0.296,0.219,0.34599999,0.294,0.082000002,0.059,0.081,0.0080000004,9.8411865
"25","DeKalb County, Alabama","AL",85.527629,38.192,39.299999,0.50099999,0.80900002,0.017999999,0.14,0.33000001,0.077,0.27599999,0.169,0.54100001,0.52899998,0.27599999,0.352,0.25999999,0.063000001,0.048999999,0.077,0.075999998,10.159137
"26","Elmore County, Alabama","AL",76.597279,53.555,37.900002,0.51300001,0.736,0.20999999,0.028000001,0.338,0.082999997,0.12,0.093999997,0.50599998,0.51300001,0.134,0.354,0.29800001,0.134,0.079999998,0.12,0.021,10.525676
"27","Escambia County, Alabama","AL",68.32875,32.33,40.299999,0.48500001,0.60699999,0.33399999,0.012,0.41,0.156,0.149,0.185,0.43799999,0.442,0.20100001,0.421,0.252,0.083999999,0.041999999,0.090999998,0.0060000001,9.6054182
"28","Etowah County, Alabama","AL",75.599951,39.22,40.799999,0.51599997,0.78500003,0.154,0.035999998,0.45100001,0.090000004,0.189,0.131,0.514,0.48899999,0.175,0.31900001,0.345,0.101,0.059999999,0.097000003,0.027000001,10.695665
"29","Fayette County, Alabama","AL",83.131039,34.68,43.200001,0.498,0.85299999,0.12,0.0070000002,0.359,0.1,0.234,0.094999999,0.54299998,0.52999997,0.22400001,0.38800001,0.24600001,0.083999999,0.057,0.093000002,0.0040000002,9.0178471
"30","Franklin County, Alabama","AL",81.162649,35.372,38.799999,0.51599997,0.78500003,0.041000001,0.15700001,0.331,0.097999997,0.32100001,0.15800001,0.52499998,0.48100001,0.25400001,0.375,0.257,0.074000001,0.039999999,0.059,0.088,9.3959894
"31","Geneva County, Alabama","AL",86.761004,36.024,42.200001,0.509,0.83999997,0.086999997,0.035999998,0.36500001,0.112,0.121,0.154,0.55599999,0.49200001,0.20999999,0.37099999,0.296,0.093000002,0.029999999,0.107,0.027000001,9.3722887
