State,State Population
AL,4850858
AK,737979
AZ,6802262
AR,2975626
CA,39032444
CO,5440445
CT,3593862
DE,944107
DC,672736
FL,20268567
GA,10199533
HI,1426320
ID,1649324
IL,12862051
IN,6610596
IA,3118473
KS,2905789
KY,4422057
LA,4671211
ME,1327787
MD,6000561
MA,6794002
MI,9918170
MN,5483238
MS,2985297
MO,6072640
MT,1028317
NE,1893564
NB,2883057
NH,1330134
NJ,8960001
NM,2082264
NY,19819347
NC,10041769
ND,754859
OH,11606027
OK,3904353
OR,4016537
PA,12791124
RI,1055916
SC,4892423
SD,854036
TN,6590726
TX,27454880
UT,2984917
VT,624455
VA,8366767
WA,7152818
WV,1839767
WI,5759744
WY,586102
