"","country","points","price","province","variety"
"22804","US",88,46,"California","Pinot Noir"
"8069","France",86,25,"Bordeaux","Bordeaux-style Red Blend"
"79492","France",90,23,"Burgundy","Chardonnay"
"89249","Germany",91,22,"Mosel-Saar-Ruwer","Riesling"
"66237","Italy",91,NA,"Tuscany","White Blend"
"93667","Spain",87,25,"Northern Spain","White Blend"
"85362","Argentina",91,20,"Mendoza Province","Cabernet Sauvignon"
"70437","US",92,40,"California","Semillon-Sauvignon Blanc"
"61736","US",86,18,"Washington","Cabernet Sauvignon"
"82354","US",85,20,"New York","Merlot"
"113688","US",82,16,"California","Chardonnay"
"90870","France",85,14,"Loire Valley","Sauvignon Blanc"
"5057","France",88,50,"Burgundy","Chardonnay"
"29542","France",94,100,"Burgundy","Chardonnay"
"147349","US",86,45,"California","Cabernet Sauvignon"
"44949","US",85,25,"New York","Sparkling Blend"
"47185","Italy",88,NA,"Piedmont","Barbera"
"111907","US",90,31,"Washington","Sangiovese"
"5429","US",88,35,"California","White Blend"
"3131","US",89,35,"California","Pinot Noir"
"50617","Australia",87,13,"New South Wales","Cabernet Sauvignon"
"34007","France",86,29,"Burgundy","Chardonnay"
"67459","Argentina",84,8,"Mendoza Province","Chardonnay"
"60768","US",82,9,"California","Shiraz"
"11638","US",91,29,"California","Pinot Noir"
"41506","US",90,36,"New York","Riesling"
"62585","US",89,32,"Washington","Cabernet Sauvignon"
"141511","France",88,9,"Southwest France","Malbec"
"134207","US",84,20,"Idaho","Syrah"
"32246","US",83,14,"California","Chardonnay"
"98565","South Africa",89,22,"Stellenbosch","Sauvignon Blanc"
"110164","US",90,28,"California","Zinfandel"
"148805","Italy",84,13,"Northeastern Italy","Pinot Grigio"
"150682","South Africa",86,30,"Stellenbosch","Cabernet Sauvignon"
"147277","Italy",85,16,"Tuscany","Syrah"
"101827","US",89,34,"Washington","Syrah"
"100140","Italy",91,45,"Piedmont","Nebbiolo"
"132536","Australia",90,30,"South Australia","Rhône-style Red Blend"
"46591","Uruguay",83,19,"San Jose","Tannat"
"55081","US",91,22,"California","Sauvignon Blanc"
"70723","South Africa",90,35,"Stellenbosch","Red Blend"
"134881","US",82,25,"California","Sangiovese"
"15258","France",92,22,"Southwest France","Malbec"
"93956","US",82,28,"California","Grenache"
"6416","Portugal",87,NA,"Vinho Verde","Loureiro"
"141573","US",85,10,"California","Cabernet Sauvignon"
"60893","France",87,30,"Bordeaux","Bordeaux-style Red Blend"
"3473","US",89,45,"California","Cabernet Sauvignon"
"38547","Germany",91,35,"Mosel","Riesling"
"5254","US",87,18,"California","Petite Sirah"
"71510","Spain",87,15,"Galicia","Albariño"
"57999","US",87,25,"California","Chardonnay"
"17669","Argentina",82,11,"Mendoza Province","Malbec"
"44498","Austria",88,20,"Wagram-Donauland","Riesling"
"128117","US",93,150,"California","Bordeaux-style Red Blend"
"91298","US",89,45,"California","Rhône-style Red Blend"
"24990","Italy",88,36,"Sicily & Sardinia","Cabernet Sauvignon"
"49085","US",90,35,"Washington","Malbec"
"11830","Australia",90,35,"South Australia","Cabernet Sauvignon"
"57574","US",93,40,"Washington","Syrah"
"71484","US",87,10,"Washington","Sangiovese"
"65810","Portugal",88,26,"Dão","Jaen"
"113668","Argentina",88,25,"Other","Malbec"
"35395","France",89,NA,"Burgundy","Pinot Noir"
"68909","New Zealand",85,20,"Hawke's Bay","Chardonnay"
"79975","Italy",87,NA,"Southern Italy","Aglianico"
"25705","US",86,48,"California","Cabernet Sauvignon"
"8627","Israel",92,40,"Galilee","Cabernet Franc"
"120854","US",92,30,"California","Zinfandel"
"107346","France",91,NA,"Loire Valley","Cabernet Franc"
"41810","US",94,45,"California","Pinot Noir"
"20112","Italy",90,NA,"Veneto","Corvina, Rondinella, Molinara"
"54619","US",92,21,"Washington","Viognier"
"79961","Italy",87,NA,"Southern Italy","Red Blend"
"11726","US",87,34,"California","Primitivo"
"150478","Italy",84,11,"Tuscany","Sangiovese"
"48390","US",87,21,"California","Chardonnay"
"70187","Italy",87,22,"Northeastern Italy","Riesling"
"145936","US",88,24,"California","Chardonnay"
"102211","US",86,40,"California","Syrah"
"145136","New Zealand",89,40,"Central Otago","Pinot Noir"
"62651","US",85,11,"California","Sauvignon Blanc"
"29297","Italy",90,25,"Piedmont","Barbera"
"105644","US",86,48,"California","Cabernet Sauvignon-Cabernet Franc"
"142818","Chile",84,13,"Rapel Valley","Carmenère"
"606","US",91,45,"California","Pinot Noir"
"65195","US",90,32,"California","Chardonnay"
"48085","Australia",88,29,"South Australia","Cabernet Sauvignon"
"105975","US",86,34,"California","Zinfandel"
"148395","France",91,18,"Loire Valley","Sauvignon Blanc"
"80788","South Africa",84,10,"Polkadraai Hills","Pinotage-Merlot"
"93444","France",90,15,"Rhône Valley","Rhône-style Red Blend"
"110762","US",90,20,"Washington","Chardonnay"
"131695","France",95,NA,"Bordeaux","Bordeaux-style Red Blend"
"56607","Germany",81,11,"Mosel-Saar-Ruwer","Riesling"
"48659","Portugal",86,NA,"Vinho Verde","Portuguese White"
"53396","US",85,50,"Oregon","Pinot Noir"
"100904","New Zealand",90,20,"Central Otago","Riesling"
"33079","US",87,30,"New York","Cabernet Franc"
"97160","US",88,49,"California","Pinot Noir"
"19799","US",87,35,"Oregon","Pinot Noir"
"111487","US",86,16,"California","Riesling"
"58483","US",91,30,"Washington","Malbec"
"89159","US",87,32,"Oregon","Claret"
"15942","Austria",86,20,"Burgenland","Red Blend"
"144568","US",90,NA,"California","Pinot Noir"
"74961","France",89,24,"Loire Valley","Sauvignon Blanc"
"61439","US",88,32,"California","Merlot"
"27477","US",88,29,"Washington","Grenache"
"112265","Italy",86,11,"Tuscany","Sangiovese"
"145675","US",95,125,"California","Cabernet Sauvignon"
"5406","Italy",88,34,"Tuscany","Sangiovese"
"81015","Italy",91,65,"Tuscany","Red Blend"
"93252","Italy",94,NA,"Tuscany","Sangiovese Grosso"
"79673","Italy",87,20,"Southern Italy","Aglianico"
"12744","France",91,60,"Alsace","Riesling"
"90187","US",87,15,"New York","Pinot Grigio"
"102156","US",85,9,"California","Chardonnay"
"143183","US",86,20,"California","Chardonnay"
"56245","US",82,8,"California","Valdiguié"
"23640","South Africa",86,25,"Stellenbosch","White Blend"
"123944","US",88,17,"Oregon","Pinot Gris"
"93752","US",84,14,"California","Sangiovese"
"64332","Spain",83,22,"Galicia","Albariño"
"142836","Spain",93,116,"Andalucia","Sherry"
"133085","US",88,24,"California","Zinfandel"
"8537","Spain",91,48,"Northern Spain","Tempranillo Blend"
"83430","France",90,105,"Burgundy","Chardonnay"
"63154","US",89,37,"California","Chardonnay"
"17851","France",87,15,"Rhône Valley","Rhône-style Red Blend"
"98871","Italy",89,26,"Tuscany","Sangiovese"
"127601","US",80,12,"California","Syrah"
"137121","Argentina",92,75,"Mendoza Province","Malbec"
"6472","France",88,20,"France Other","Rosé"
"147836","Spain",83,15,"Northern Spain","Prieto Picudo"
"135719","France",95,140,"Rhône Valley","Marsanne"
"141565","Chile",89,30,"Maipo Valley","Cabernet Blend"
"110670","Austria",86,16,"Neusiedlersee-Hügelland","Blaufränkisch"
"146273","US",92,65,"California","Cabernet Sauvignon"
"106267","Spain",86,15,"Northern Spain","Tempranillo"
"63373","US",83,18,"California","Cabernet Sauvignon"
"31407","Italy",87,25,"Veneto","Red Blend"
"37567","US",87,38,"California","Chardonnay"
"32412","France",91,15,"Loire Valley","Chenin Blanc"
"121218","US",81,18,"California","Zinfandel"
"10616","Portugal",95,85,"Port","Port"
"66411","Spain",87,15,"Northern Spain","Tempranillo"
"4691","US",85,25,"California","Port"
"122387","Italy",88,27,"Sicily & Sardinia","Nero d'Avola"
"136648","Austria",89,20,"Wachau","Riesling"
"41071","US",90,21,"Oregon","Pinot Noir"
"83622","Argentina",93,60,"Mendoza Province","Cabernet Sauvignon"
"10555","US",94,130,"California","Cabernet Sauvignon"
"14910","Spain",86,40,"Northern Spain","Red Blend"
"41900","Spain",87,60,"Northern Spain","Tempranillo"
"132548","Italy",86,15,"Veneto","Pinot Grigio"
"70900","US",89,42,"California","Pinot Noir"
"25061","US",88,65,"California","Pinot Noir"
"78057","France",86,12,"Bordeaux","Bordeaux-style Red Blend"
"138133","Chile",87,55,"Maipo Valley","Cabernet Sauvignon-Carmenère"
"33463","US",86,35,"California","Pinot Noir"
"110706","US",92,19,"California","Zinfandel"
"66670","Italy",90,30,"Tuscany","Sangiovese"
"133024","Spain",87,18,"Northern Spain","Tempranillo"
"4364","France",85,15,"Bordeaux","Bordeaux-style Red Blend"
"1605","US",87,15,"Washington","Chardonnay"
"75848","Italy",89,22,"Tuscany","Vermentino"
"119979","US",93,28,"California","Sauvignon Blanc"
"77394","Spain",92,45,"Levante","Red Blend"
"147837","Italy",83,11,"Tuscany","Red Blend"
"149036","Portugal",87,30,"Port","Port"
"32970","Spain",89,36,"Northern Spain","Red Blend"
"58705","Chile",89,35,"Central Valley","Red Blend"
"51505","US",87,37,"California","Petite Sirah"
"104575","US",85,42,"California","Cabernet Sauvignon"
"130836","Spain",93,48,"Northern Spain","Tempranillo"
"16299","Italy",87,17,"Piedmont","Barbera"
"10785","France",94,75,"Bordeaux","Bordeaux-style White Blend"
"129419","US",85,16,"New York","Pinot Gris"
"27497","Italy",87,17,"Veneto","Garganega"
"21616","Italy",94,85,"Tuscany","Sangiovese Grosso"
"103182","New Zealand",86,12,"Marlborough","Pinot Noir"
"109090","France",92,NA,"Bordeaux","Bordeaux-style Red Blend"
"87168","US",89,17,"Oregon","Pinot Noir"
"90039","France",88,NA,"Alsace","Gewürztraminer"
"125095","New Zealand",87,17,"Waipara","Sauvignon Blanc"
"28350","US",81,42,"California","Pinot Noir"
"129943","US",82,19,"California","Chardonnay"
"70583","US",85,15,"California","Chardonnay"
"41461","US",83,18,"Oregon","Viognier"
"34269","Italy",86,12,"Southern Italy","Gaglioppo"
"80304","US",86,30,"New York","Merlot"
"7493","New Zealand",89,NA,"Marlborough","Pinot Gris"
"91994","Italy",86,19,"Piedmont","Barbera"
"66806","US",89,28,"California","Pinot Noir"
"110286","France",91,NA,"Bordeaux","Bordeaux-style White Blend"
"102171","US",85,22,"California","Chardonnay"
"41978","Portugal",89,13,"Douro","Portuguese Red"
"86640","Spain",86,14,"Northern Spain","Chardonnay"
"72547","Portugal",86,NA,"Tejo","Portuguese Red"
"115588","US",92,43,"California","Pinot Noir"
"42929","US",93,35,"Washington","Bordeaux-style Red Blend"
"44353","US",90,16,"California","Red Blend"
"119968","US",93,50,"California","Pinot Noir"
"99380","Argentina",85,9,"Mendoza Province","Bonarda"
"139914","US",89,30,"California","Cabernet Sauvignon"
"98801","US",93,140,"California","Red Blend"
"28137","US",91,40,"California","Chardonnay"
"82082","US",84,12,"California","Pinot Grigio"
"126898","US",86,35,"California","Syrah"
"149527","Portugal",85,NA,"Port","Port"
"142245","US",88,22,"California","Gewürztraminer"
"52270","US",95,45,"California","Cabernet"
"149794","New Zealand",86,15,"East Coast","Chardonnay"
"20647","Italy",88,55,"Veneto","Corvina, Rondinella, Molinara"
"103270","Argentina",83,13,"Mendoza Province","Bonarda"
"147545","Chile",85,28,"Rapel Valley","Bordeaux-style Red Blend"
"82042","France",85,13,"Bordeaux","Bordeaux-style Red Blend"
"12548","Italy",92,40,"Tuscany","Sangiovese"
"118957","US",85,20,"Washington","Syrah"
"140233","South Africa",84,30,"Stellenbosch","Red Blend"
"48138","US",88,50,"Virginia","Tannat"
"113614","US",84,29,"California","Merlot"
"8205","Italy",91,34,"Tuscany","Pinot Nero"
"111646","Luxembourg",88,50,"Moselle Luxembourgeoise","Pinot Gris"
"87109","US",91,50,"California","Merlot"
"39908","US",89,60,"California","Cabernet Sauvignon"
"84901","US",89,24,"New York","Pinot Grigio"
"78915","France",94,130,"Burgundy","Chardonnay"
"83189","Spain",92,140,"Levante","Red Blend"
"79499","France",90,24,"Burgundy","Champagne Blend"
"136336","US",90,19,"California","Sparkling Blend"
"139301","Argentina",87,13,"Mendoza Province","Bordeaux-style Red Blend"
"16838","US",87,25,"Washington","Cabernet Sauvignon"
"46228","South Africa",89,11,"Coastal Region","Shiraz"
"85741","France",90,25,"Alsace","Riesling"
"125288","Australia",87,30,"South Australia","Shiraz"
"147777","France",85,11,"Alsace","White Blend"
"110095","US",89,28,"California","Cabernet Franc"
"81327","US",91,50,"Washington","Rhône-style Red Blend"
"66961","US",88,18,"New York","Cabernet Franc"
"123403","Chile",91,48,"Colchagua Valley","Carmenère"
"95818","Spain",88,22,"Catalonia","Sparkling Blend"
"136340","Italy",90,59,"Piedmont","Nebbiolo"
"90898","US",92,68,"California","Pinot Noir"
"59228","US",84,18,"New York","Chardonnay"
"106314","Italy",91,NA,"Piedmont","Nebbiolo"
"133385","France",88,120,"Champagne","Champagne Blend"
"76182","US",88,42,"Washington","Petite Sirah"
"88974","Argentina",88,11,"Mendoza Province","Malbec"
"150262","New Zealand",85,NA,"Waipara","Riesling"
"139327","US",86,9,"California","Pinot Grigio"
"140821","Germany",84,18,"Rheinhessen","Riesling"
"3413","US",87,30,"California","Chardonnay"
"124132","US",89,32,"California","Syrah"
"4735","Italy",88,13,"Sicily & Sardinia","Nero d'Avola"
"9657","US",88,40,"California","Grenache"
"141596","Chile",85,12,"Maipo Valley","Cabernet Sauvignon"
"16555","Italy",87,11,"Sicily & Sardinia","Vermentino"
"124004","Hungary",90,18,"Hungary","Muscat Blanc"
"134819","US",83,30,"California","Petite Sirah"
"31738","Germany",89,28,"Mosel","Riesling"
"87754","Italy",89,20,"Veneto","Glera"
"99449","Spain",88,15,"Catalonia","Sparkling Blend"
"122910","US",86,50,"California","Meritage"
"122855","Australia",87,25,"Western Australia","Bordeaux-style Red Blend"
"139031","Italy",86,12,"Sicily & Sardinia","Grillo"
"78595","Argentina",91,40,"Mendoza Province","Cabernet Sauvignon"
"105655","Portugal",86,19,"Alentejano","Touriga Nacional"
"104410","Italy",85,17,"Piedmont","Barbera"
"11758","US",92,48,"Oregon","Pinot Noir"
"16349","France",90,24,"Languedoc-Roussillon","Red Blend"
"79789","Italy",90,60,"Veneto","Corvina, Rondinella, Molinara"
"6058","Germany",88,13,"Mosel","Riesling"
"12104","Australia",93,60,"South Australia","Shiraz"
"20625","Portugal",84,NA,"Távora-Varosa","Pinot Blanc"
"55159","France",84,11,"Beaujolais","Gamay"
"47593","US",83,9,"California","Cabernet Sauvignon"
"35338","Chile",88,13,"Colchagua Valley","Syrah"
"145814","US",88,35,"California","Cabernet Sauvignon"
"91949","US",92,85,"California","Cabernet Sauvignon"
"56628","US",90,18,"California","Chardonnay"
"32889","US",85,20,"Oregon","Pinot Noir"
"42586","US",87,15,"California","Merlot"
"77457","New Zealand",86,14,"Marlborough","Sauvignon Blanc"
"108188","US",94,32,"California","Chardonnay"
"141984","US",88,36,"California","Chardonnay"
"114801","South Africa",87,22,"Stellenbosch","Cabernet Sauvignon"
"138685","Austria",87,25,"Styria","Sauvignon Blanc"
"60781","New Zealand",86,NA,"Wairarapa","Pinot Noir"
"7192","US",88,22,"Washington","Sangiovese"
"104883","Italy",90,48,"Tuscany","Red Blend"
"131356","US",92,48,"California","Zinfandel"
"6326","US",94,185,"California","Cabernet Sauvignon"
"43145","France",91,46,"Provence","Rosé"
"4995","Argentina",84,12,"Mendoza Province","Sauvignon Blanc"
"10426","France",88,20,"Provence","Rosé"
"54864","US",84,75,"California","Pinot Noir"
"11053","US",85,80,"California","Cabernet Sauvignon"
"10513","Australia",96,225,"South Australia","Shiraz-Viognier"
"62832","Argentina",81,12,"Mendoza Province","Malbec"
"149587","New Zealand",88,25,"Gisborne","Chardonnay"
"35277","US",84,25,"Virginia","Bordeaux-style Red Blend"
"119530","Italy",98,225,"Tuscany","Syrah"
"38638","Italy",87,25,"Tuscany","White Blend"
"121613","France",94,200,"Burgundy","Chardonnay"
"30518","US",86,22,"New York","Cabernet Franc"
"109445","US",88,13,"California","Chardonnay"
"86421","France",91,NA,"Burgundy","Pinot Noir"
"15853","France",91,18,"Southwest France","Malbec-Merlot"
"127365","US",85,38,"California","Pinot Noir"
"73752","Spain",83,10,"Northern Spain","Garnacha"
"104549","Italy",87,23,"Central Italy","Petite Verdot"
"102145","US",88,31,"Washington","Cabernet Sauvignon"
"61971","US",84,8,"California","Symphony"
"57436","US",93,60,"California","Chardonnay"
"143582","France",92,NA,"Bordeaux","Bordeaux-style Red Blend"
