"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","Age","playerid"
"Albert Pujols","Cardinals","160","700","47","124","135","16","16.4 %","9.1 %",".331",".299",".327",".443",".658",".447","180","1.6","70.5","-8.8","8.4","29","1177"
"Joe Mauer","Twins","138","606","28","94","96","4","12.5 %","10.4 %",".222",".373",".365",".444",".587",".438","170","-2.1","50.8","4.6","7.6","26","1857"
"Prince Fielder","Brewers","162","719","46","103","141","2","15.3 %","19.2 %",".303",".315",".299",".412",".602",".422","161","-5.7","48.5","-12.1","5.9","25","4613"
"Joey Votto","Reds","131","544","25","82","84","4","12.9 %","19.5 %",".245",".372",".322",".414",".567",".418","155","2.1","39.2","-10.4","4.6","25","4314"
"Kevin Youkilis","Red Sox","136","588","27","99","94","7","13.1 %","21.3 %",".242",".359",".305",".413",".548",".413","147","1.9","36.6","1.9","5.9","30","1935"
"Derrek Lee","Cubs","141","615","35","91","111","1","12.4 %","17.7 %",".273",".327",".306",".393",".579",".413","150","-0.9","37.0","-4.4","5.2","33","525"
"Ben Zobrist","Rays","152","599","27","91","91","17","15.2 %","17.4 %",".246",".326",".297",".405",".543",".407","152","4.6","43.7","22.3","8.6","28","7435"
"Hanley Ramirez","Marlins","151","652","24","101","106","27","9.4 %","15.5 %",".201",".379",".342",".410",".543",".407","149","5.1","44.0","6.2","7.1","25","8001"
"Adrian Gonzalez","Padres","160","681","40","90","99","1","17.5 %","16.0 %",".274",".278",".277",".407",".551",".404","156","-5.8","41.3","-5.1","5.8","27","1908"
"Ryan Braun","Brewers","158","708","32","113","114","20","8.1 %","17.1 %",".231",".353",".320",".386",".551",".403","149","6.4","48.8","-20.8","5.1","25","3410"
"Mark Teixeira","Yankees","156","707","39","103","122","2","11.5 %","16.1 %",".273",".302",".292",".383",".565",".402","142","0.7","37.8","-11.0","5.1","29","1281"
"Miguel Cabrera","Tigers","160","685","34","96","103","6","9.9 %","15.6 %",".223",".348",".324",".396",".547",".402","143","-3.5","33.2","-6.7","5.0","26","1744"
"Alex Rodriguez","Yankees","124","535","30","78","100","14","15.0 %","18.1 %",".245",".303",".286",".402",".532",".401","141","0.6","28.3","-6.3","4.0","33","1274"
"Pablo Sandoval","Giants","153","633","25","79","90","5","8.2 %","13.1 %",".226",".350",".330",".387",".556",".399","146","0.0","36.2","-4.7","5.2","22","5409"
"Manny Ramirez","Dodgers","104","431","19","62","63","0","16.5 %","18.8 %",".241",".328",".290",".418",".531",".398","147","0.1","25.2","-13.9","2.5","37","210"
"Adam Lind","Blue Jays","151","654","35","93","114","1","8.9 %","16.8 %",".257",".323",".305",".370",".562",".396","140","0.2","32.9","-22.4","3.3","25","8027"
"Adam Dunn","Nationals","159","668","38","81","105","0","17.4 %","26.5 %",".262",".324",".267",".398",".529",".395","142","-0.7","34.0","-44.8","1.1","29","319"
"Jason Bay","Red Sox","151","638","36","103","119","13","14.7 %","25.4 %",".269",".315",".267",".384",".537",".395","135","1.6","29.8","-6.0","4.6","30","1717"
"Troy Tulowitzki","Rockies","151","628","32","101","92","20","11.6 %","17.8 %",".256",".316",".297",".377",".552",".395","132","-1.2","23.6","9.7","5.4","24","3531"
"Chase Utley","Phillies","156","687","31","112","93","23","12.8 %","16.0 %",".226",".300",".282",".397",".508",".394","141","12.3","46.8","13.4","8.2","30","1679"
"J.D. Drew","Red Sox","137","539","24","84","68","2","15.2 %","20.2 %",".243",".319",".279",".392",".522",".394","135","1.1","24.5","5.4","4.8","33","1152"
"Todd Helton","Rockies","151","645","15","79","86","0","13.8 %","11.3 %",".164",".348",".325",".416",".489",".394","131","-9.0","15.9","-10.0","2.7","35","432"
"Garrett Jones","Pirates","82","358","21","45","44","10","11.2 %","21.2 %",".274",".323",".293",".372",".567",".393","142","2.0","20.7","-5.0","2.7","28","2714"
"Carlos Beltran","Mets","81","357","10","50","48","11","13.2 %","12.0 %",".175",".352",".325",".415",".500",".393","144","0.9","20.1","-2.5","2.9","32","589"
"Aramis Ramirez","Cubs","82","342","15","46","65","2","8.2 %","12.6 %",".199",".331",".317",".389",".516",".393","136","-3.8","11.5","-1.5","2.1","31","1002"
"Ryan Howard","Phillies","160","703","45","105","141","8","10.7 %","26.5 %",".292",".325",".279",".360",".571",".392","139","-0.2","33.9","-11.5","4.5","29","2154"
"Matt Holliday","- - -","156","670","24","94","109","14","10.7 %","15.1 %",".201",".341",".313",".394",".515",".391","141","0.5","34.7","-3.3","5.4","29","1873"
"Lance Berkman","Astros","136","563","25","73","80","7","17.2 %","17.4 %",".235",".296",".274",".399",".509",".387","138","-4.3","22.3","-13.8","2.7","33","548"
"Brad Hawpe","Rockies","145","588","23","82","86","1","13.4 %","24.7 %",".234",".356",".285",".384",".519",".387","127","0.1","19.6","-26.3","1.2","30","1885"
"Kendrys Morales","Angels","152","622","34","86","108","3","7.4 %","18.8 %",".263",".329",".306",".355",".569",".387","136","-7.5","20.6","-5.3","3.7","26","8610"
"Michael Young","Rangers","135","593","22","76","68","8","7.9 %","15.2 %",".196",".351",".322",".374",".518",".385","128","-8.7","12.1","-6.5","2.6","32","1286"
"Jason Kubel","Twins","146","578","28","73","103","1","9.7 %","18.3 %",".239",".327",".300",".369",".539",".385","135","-5.2","19.8","-16.8","2.3","27","2161"
"Justin Upton","Diamondbacks","138","588","26","84","86","20","9.4 %","23.3 %",".232",".360",".300",".366",".532",".385","130","7.3","29.0","1.6","4.9","21","5222"
"Derek Jeter","Yankees","153","716","18","107","66","30","10.1 %","12.6 %",".131",".368",".334",".406",".465",".385","130","2.5","29.6","12.2","6.6","35","826"
"Matt Diaz","Braves","125","425","13","56","58","12","8.2 %","21.2 %",".175",".383",".313",".390",".488",".384","136","-2.0","16.9","-8.7","2.2","31","1771"
"Shin-Soo Choo","Indians","156","685","20","87","86","21","11.4 %","22.0 %",".189",".370",".300",".394",".489",".384","134","6.5","35.6","-8.7","5.0","26","3174"
"Jason Bartlett","Rays","137","567","14","90","66","30","9.5 %","15.7 %",".170",".364",".320",".389",".490",".383","136","7.1","32.7","0.2","5.2","29","8219"
"Seth Smith","Rockies","133","387","15","61","55","4","11.9 %","17.3 %",".218",".324",".293",".378",".510",".383","124","1.8","13.1","2.5","2.8","26","7331"
"Ryan Raburn","Tigers","113","291","16","44","45","5","8.9 %","20.6 %",".241",".323",".291",".359",".533",".382","129","-0.8","9.9","-4.7","1.5","28","2218"
"Mark Reynolds","Diamondbacks","155","662","44","98","102","24","11.5 %","33.7 %",".284",".338",".260",".349",".543",".381","127","2.0","24.1","-11.9","3.3","25","7619"
"Hideki Matsui","Yankees","142","528","28","62","90","0","12.1 %","14.2 %",".235",".273",".274",".367",".509",".380","127","0.4","18.2","-12.7","2.4","35","1659"
"Raul Ibanez","Phillies","134","565","34","93","93","4","9.9 %","21.1 %",".280",".290",".272",".347",".552",".378","130","-1.2","19.6","-3.3","3.4","37","607"
"Jorge Posada","Yankees","111","438","22","55","81","1","11.0 %","23.1 %",".238",".328",".285",".363",".522",".378","126","-7.7","6.5","1.4","2.3","37","841"
"Jayson Werth","Phillies","159","676","36","98","99","20","13.5 %","23.1 %",".238",".304",".268",".373",".506",".378","130","3.4","28.0","-2.5","4.7","30","1327"
"Evan Longoria","Rays","157","671","33","100","113","9","10.7 %","20.9 %",".245",".313",".281",".364",".526",".377","132","-0.4","26.8","21.6","7.1","23","9368"
"Ryan Zimmerman","Nationals","157","694","33","110","106","2","10.4 %","17.1 %",".233",".310",".292",".364",".525",".377","130","4.0","29.6","14.1","6.6","24","4220"
"Carlos Pena","Rays","135","570","39","91","100","3","15.3 %","28.6 %",".310",".250",".227",".356",".537",".377","132","2.2","25.1","-16.9","2.8","31","934"
"Nick Johnson","- - -","133","574","8","71","62","2","17.2 %","14.6 %",".114",".338",".291",".426",".405",".376","129","-5.8","14.8","-17.6","1.6","30","828"
"Nick Swisher","Yankees","150","607","29","84","82","0","16.0 %","20.8 %",".249",".272",".249",".371",".498",".376","125","-1.7","17.1","-8.9","2.9","28","4599"
"Torii Hunter","Angels","119","506","22","74","90","18","9.3 %","18.2 %",".208",".330",".299",".366",".508",".375","128","3.0","20.8","-0.1","3.8","33","731"
"Victor Martinez","- - -","155","672","23","88","108","1","11.2 %","11.0 %",".177",".312",".303",".381",".480",".375","126","-2.1","19.6","-4.4","3.8","30","393"
"Josh Willingham","Nationals","133","502","24","70","61","4","12.2 %","20.7 %",".237",".289",".260",".367",".496",".375","129","1.0","18.7","-10.2","2.5","30","2103"
"Robinson Cano","Yankees","161","674","25","103","85","5","4.5 %","9.3 %",".199",".324",".320",".352",".520",".374","124","-6.5","13.4","-0.4","3.6","26","3269"
"Chris Coghlan","Marlins","128","565","9","84","47","8","9.4 %","13.6 %",".139",".365",".321",".390",".460",".374","127","2.9","21.3","-12.2","2.7","24","6878"
"Jonny Gomes","Reds","98","314","20","39","51","3","8.3 %","27.1 %",".274",".309",".267",".338",".541",".373","126","0.0","9.9","-9.8","1.0","28","1845"
"Carlos Gonzalez","Rockies","89","317","13","53","29","16","8.8 %","22.1 %",".241",".333",".284",".353",".525",".373","117","2.1","8.8","1.0","2.0","23","7287"
"Johnny Damon","Yankees","143","626","24","107","82","12","11.3 %","15.7 %",".207",".305",".282",".365",".489",".372","122","7.3","24.6","-10.4","3.6","35","185"
"Justin Morneau","Twins","135","590","30","85","100","0","12.2 %","14.6 %",".242",".273",".274",".363",".516",".372","126","0.2","19.3","-7.0","3.3","28","1737"
"Andre Ethier","Dodgers","160","685","31","92","106","6","10.5 %","16.9 %",".237",".289",".272",".361",".508",".371","129","-3.5","21.1","-20.6","2.3","27","6265"
"Casey McGehee","Brewers","116","394","16","58","66","0","8.6 %","17.0 %",".197",".330",".301",".360",".499",".370","126","-2.0","10.8","-7.1","1.6","26","6086"
"Billy Butler","Royals","159","672","21","78","93","1","8.6 %","15.3 %",".191",".332",".301",".362",".492",".369","122","-7.7","10.9","-17.0","1.7","23","7399"
"Michael Cuddyer","Twins","153","650","32","93","94","6","8.3 %","18.2 %",".245",".295",".276",".342",".520",".369","124","1.1","20.7","-18.9","2.4","30","1534"
"Russell Branyan","Mariners","116","505","31","64","76","2","11.5 %","29.5 %",".269",".300",".251",".347",".520",".368","126","0.3","16.7","-7.2","2.7","33","370"
"Jim Thome","- - -","124","434","23","55","77","0","15.9 %","28.3 %",".232",".306",".249",".366",".481",".368","119","-6.8","3.6","-10.7","0.8","38","409"
"Ichiro Suzuki","Mariners","146","678","11","88","46","26","4.7 %","10.5 %",".113",".384",".352",".386",".465",".367","125","7.6","29.1","2.1","5.4","35","1101"
"David Wright","Mets","144","618","10","88","72","27","12.0 %","22.7 %",".140",".394",".307",".390",".447",".366","125","1.1","20.4","-7.5","3.3","26","3787"
"Mike Napoli","Angels","114","432","20","60","56","3","9.3 %","23.8 %",".220",".321",".272",".350",".492",".364","121","2.0","13.3","-0.7","2.7","27","3057"
"Lyle Overbay","Blue Jays","132","500","16","57","64","0","14.8 %","19.0 %",".201",".305",".265",".372",".466",".364","119","-1.8","10.0","-7.1","2.0","32","1617"
"Nolan Reimold","Orioles","104","411","15","49","45","8","11.4 %","18.7 %",".187",".316",".279",".365",".466",".364","117","0.7","9.2","-12.6","1.1","25","3441"
"Andrew McCutchen","Pirates","108","493","12","74","54","22","11.0 %","16.8 %",".185",".327",".286",".365",".471",".363","122","4.6","17.9","0.4","3.4","22","9847"
"Nelson Cruz","Rangers","128","515","33","75","76","20","9.5 %","22.9 %",".264",".278",".260",".332",".524",".363","114","0.9","9.7","2.6","3.0","28","2434"
"Paul Konerko","White Sox","152","621","28","75","88","1","9.3 %","14.3 %",".212",".282",".277",".353",".489",".363","115","-6.4","5.5","-9.3","1.8","33","242"
"Bobby Abreu","Angels","152","667","15","96","103","30","14.1 %","16.9 %",".142",".338",".293",".390",".435",".363","120","3.0","19.6","-15.8","2.7","35","945"
"Matt Kemp","Dodgers","159","667","26","97","101","34","7.8 %","20.8 %",".193",".345",".297",".352",".490",".362","123","4.3","22.9","5.1","4.9","24","5631"
"Gary Sheffield","Mets","100","312","10","44","43","2","12.8 %","14.7 %",".175",".299",".276",".372",".451",".360","122","-1.0","7.2","-13.9","0.3","40","114"
"Scott Rolen","- - -","128","535","11","76","67","5","8.4 %","11.6 %",".149",".327",".305",".368",".455",".360","116","5.4","16.3","6.0","4.0","34","970"
"Yunel Escobar","Braves","141","604","14","89","76","5","9.4 %","10.3 %",".136",".317",".299",".377",".436",".360","120","-2.5","12.0","7.8","3.9","26","4191"
"Brian McCann","Braves","138","551","21","63","94","4","8.9 %","15.1 %",".205",".297",".281",".349",".486",".359","119","-4.9","8.3","11.7","3.8","25","4810"
"Dustin Pedroia","Red Sox","154","714","15","115","72","20","10.4 %","6.3 %",".152",".297",".296",".371",".447",".359","112","0.6","11.1","10.7","4.6","25","8370"
"Denard Span","Twins","145","676","8","97","68","23","10.4 %","13.2 %",".104",".353",".311",".392",".415",".359","118","7.5","22.6","-5.0","4.1","25","8347"
"Miguel Montero","Diamondbacks","128","470","16","61","59","1","8.1 %","16.6 %",".184",".327",".294",".355",".478",".359","113","0.3","7.7","4.5","2.7","25","3364"
"Angel Pagan","Mets","88","376","6","54","32","14","6.6 %","14.9 %",".181",".349",".306",".350",".487",".359","121","0.0","9.8","6.9","2.9","27","2918"
"Adam LaRoche","- - -","150","629","25","78","83","2","11.0 %","22.6 %",".211",".328",".277",".355",".488",".359","119","-1.0","13.7","-12.5","2.1","29","1904"
"Felipe Lopez","- - -","151","680","9","88","57","6","10.4 %","14.7 %",".118",".358",".310",".383",".427",".359","115","-1.0","11.7","2.8","3.6","29","1311"
"Martin Prado","Braves","128","503","11","64","49","1","7.2 %","11.7 %",".158",".331",".307",".358",".464",".358","119","-3.5","8.1","1.4","2.6","25","3312"
"Carl Crawford","Rays","156","672","15","96","68","60","7.6 %","14.7 %",".147",".342",".305",".364",".452",".358","120","8.3","24.8","10.9","5.9","27","1201"
"Casey Blake","Dodgers","139","565","18","84","79","3","11.2 %","20.5 %",".188",".327",".280",".363",".468",".357","120","0.8","14.5","13.2","4.6","35","719"
"Aaron Hill","Blue Jays","158","734","36","103","108","6","5.7 %","13.4 %",".213",".288",".286",".330",".499",".357","114","4.2","17.3","-2.8","4.0","27","6104"
"Chone Figgins","Angels","158","729","5","114","54","42","13.9 %","15.6 %",".096",".356",".298",".395",".393",".357","116","7.1","21.6","18.5","6.5","31","1580"
"Carlos Lee","Astros","160","662","26","65","102","5","6.2 %","7.7 %",".189",".290",".300",".343",".489",".356","118","-11.0","3.3","-16.6","0.8","33","243"
"Magglio Ordonez","Tigers","131","518","9","54","50","3","9.8 %","12.5 %",".118",".344",".310",".376",".428",".356","113","-4.2","3.9","-13.4","0.8","35","248"
"Travis Hafner","Indians","94","383","16","46","49","0","10.7 %","17.5 %",".198",".297",".272",".355",".470",".356","115","1.0","8.3","-9.5","1.2","32","1573"
"Luke Scott","Orioles","128","506","25","61","77","0","10.9 %","20.6 %",".229",".283",".258",".340",".488",".356","112","0.9","8.2","-12.9","1.3","31","3469"
"Hunter Pence","Astros","159","647","25","76","72","14","9.0 %","16.8 %",".190",".308",".282",".346",".472",".356","117","-6.6","7.0","5.2","3.3","26","8252"
"Dan Uggla","Marlins","158","668","31","84","90","2","13.8 %","22.5 %",".216",".274",".243",".354",".459",".355","114","0.8","12.2","-7.6","2.6","29","3442"
"Chipper Jones","Braves","143","596","18","80","71","4","16.9 %","14.9 %",".166",".287",".264",".388",".430",".355","116","-2.3","9.6","-4.9","2.4","37","97"
