"Season","Name","playerid","Team","G","PA","AB","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","BB%","K%","BB/K","AVG1","OBP","SLG","OPS","ISO","BABIP","w RC","w RAA","w OBA","wRC+","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%"
"2007","Alfredo Amezaga","1","FLA","130","448","400","105","80","14","9","2","46","30","35","0","52","4","5","4","4","13","7","0.262500000","0.078125000","0.116071428","0.673076923","0.262500000","0.324324324","0.357500000","0.681824324","0.095000000","0.293447293","45.4686778526533","-9.94892230222339","0.304634917560998","78.6840131410276","1.423423423","0.206489675","0.466076696","0.327433628","0.117117117","0.018018018","0.069620253","0.388888888","0.3725","0.3417","0.2857","0.1961","0.5602","0.2437"
"2007","Garret Anderson","2","LAA","107","450","417","124","76","31","1","16","67","80","27","9","54","0","6","0","8","1","0","0.297362110","0.060000000","0.120000000","0.500000000","0.297362110","0.335555555","0.491606714","0.827162269","0.194244604","0.305949008","61.9185943090641","6.25359415349602","0.347661201916044","110.168448522864","0.993333333","0.189701897","0.403794037","0.406504065","0.126666666","0.106666666","0.040268456","0.000000000","0.4715","0.3144","0.2141","0.1843","0.4634","0.3523"
"2007","David Eckstein","10","STL","117","484","434","134","108","23","0","3","58","31","24","0","22","12","7","7","9","10","1","0.308755760","0.049586776","0.045454545","1.090909090","0.308755760","0.356394129","0.382488479","0.738882608","0.073732719","0.314903846","59.5455941989159","-0.325205968406277","0.330299253233824","97.3085198615007","1.098039215","0.222760290","0.406779661","0.370460048","0.156862745","0.019607843","0.053571428","0.230769230","0.4131","0.3005","0.2864","0.2347","0.5329","0.2324"
"2007","Darin Erstad","11","CHW","84","347","310","77","59","13","1","4","33","32","28","0","44","0","1","6","4","7","2","0.248387096","0.080691642","0.126801152","0.636363636","0.248387096","0.309734513","0.335483870","0.645218383","0.087096774","0.277566539","31.2433066851956","-11.6805934347647","0.290984649925457","68.7241112674945","1.769230769","0.172413793","0.528735632","0.298850574","0.089743589","0.051282051","0.079710144","0.250000000","0.3773","0.3736","0.2491","0.1978","0.5165","0.2857"
"2007","Troy Glaus","15","TOR","113","456","385","101","61","19","1","20","60","62","61","2","102","5","5","0","7","0","1","0.262337662","0.133771929","0.223684210","0.598039215","0.262337662","0.366228070","0.472727272","0.838955342","0.210389610","0.302238805","69.3713479212532","12.9641477636109","0.364980824980967","121.755226617125","0.746153846","0.211805555","0.336805555","0.451388888","0.100000000","0.153846153","0.000000000","0.000000000","0.3924","0.3542","0.2535","0.1563","0.4167","0.4271"
"2007","Adam Kennedy","19","STL","86","306","279","61","48","9","1","3","27","18","22","6","33","3","1","1","9","6","2","0.218637992","0.071895424","0.107843137","0.666666666","0.218637992","0.281967213","0.290322580","0.572289793","0.071684588","0.237704918","17.6405964947221","-20.2116036110642","0.252385556299152","46.9587035195806","1.071428571","0.174796747","0.426829268","0.398373983","0.040816326","0.030612244","0.038095238","0.000000000","0.3952","0.2944","0.3105","0.1815","0.6008","0.2177"
"2007","Bengie Molina","24","SFG","133","517","497","137","98","19","1","19","38","81","15","2","53","2","2","1","13","0","0","0.275653923","0.029013539","0.102514506","0.283018867","0.275653923","0.298449612","0.432595573","0.731045185","0.156941650","0.276346604","56.9701405773622","-6.98275960136831","0.315004224327288","84.5936279505402","0.841836734","0.190582959","0.369955156","0.439461883","0.102040816","0.096938775","0.018181818","0.000000000","0.4004","0.3423","0.2573","0.1879","0.5213","0.2908"
"2007","Jose Molina","25","2 Tms","64","202","191","49","35","13","0","1","18","19","5","0","43","0","1","5","4","2","1","0.256544502","0.024752475","0.212871287","0.116279069","0.256544502","0.274111675","0.340314136","0.614425811","0.083769634","0.324324324","14.6680369322664","-10.3193631375664","0.270096350139773","58.29257609901","1.627906976","0.226027397","0.479452054","0.294520547","0.023255813","0.023255813","0.071428571","0.125000000","0.2792","0.4026","0.3182","0.1299","0.5779","0.2922"
"2007","Scott Spiezio","37","STL","81","257","223","60","42","14","0","4","31","31","27","2","40","4","3","0","5","0","1","0.269058295","0.105058365","0.155642023","0.675000000","0.269058295","0.354085603","0.385650224","0.739735827","0.116591929","0.307692307","31.3602503895353","-0.430649699311387","0.329103042331396","96.5354978947223","0.904109589","0.248648648","0.356756756","0.394594594","0.054794520","0.054794520","0.015151515","1.000000000","0.5538","0.2796","0.1667","0.1452","0.5645","0.2903"
"2007","Craig Counsell","52","MIL","116","334","282","62","45","12","2","3","31","24","41","4","47","3","2","6","7","4","2","0.219858156","0.122754491","0.140718562","0.872340425","0.219858156","0.323170731","0.308510638","0.631681369","0.088652482","0.252136752","29.0070566542744","-12.3087434611917","0.287182016137206","68.2060426377038","1.204545454","0.152838427","0.462882096","0.384279475","0.125000000","0.034090909","0.028301886","0.285714285","0.5267","0.2922","0.1811","0.2058","0.5062","0.2881"
"2007","Luis Gonzalez","55","LAD","139","526","464","129","89","23","2","15","70","68","56","4","56","4","2","0","11","6","2","0.278017241","0.106463878","0.106463878","1.000000000","0.278017241","0.359315589","0.433189655","0.792505244","0.155172414","0.288607594","72.5289072584553","7.46270707661346","0.348007731054021","108.578407202755","1.074534161","0.185365853","0.421951219","0.392682926","0.161490683","0.093167701","0.028901734","0.000000000","0.4171","0.3780","0.2049","0.1780","0.5000","0.3220"
"2007","Jose Guillen","57","SEA","153","659","593","172","119","28","2","23","84","99","41","2","118","19","5","0","17","5","1","0.290050590","0.062215477","0.179059180","0.347457627","0.290050590","0.352583586","0.460370994","0.812954580","0.170320404","0.326039387","94.5583478080756","13.0400475802548","0.354681343021916","117.213180278668","1.356725146","0.160416666","0.483333333","0.356250000","0.081871345","0.134502923","0.116379310","0.000000000","0.4208","0.3396","0.2396","0.1875","0.4604","0.3521"
"2007","Damian Miller","65","MIL","56","206","186","44","31","9","0","4","19","24","14","0","39","3","3","0","8","1","0","0.236559139","0.067961165","0.189320388","0.358974358","0.236559139","0.296116504","0.349462365","0.645578869","0.112903226","0.273972602","17.9530003400993","-7.52919973111638","0.287543122340175","68.4393986677054","1.309090909","0.153333333","0.480000000","0.366666666","0.090909090","0.072727272","0.027777777","0.000000000","0.3533","0.3733","0.2733","0.1600","0.5133","0.3267"
"2007","Rafael Furcal","88","LAD","138","643","581","157","124","23","4","6","87","47","55","3","68","1","3","2","11","25","6","0.270223752","0.085536547","0.105754276","0.808823529","0.270223752","0.332812500","0.354561101","0.687373601","0.084337349","0.296078431","66.8674558596526","-12.671644362637","0.307614638161622","82.4753612861979","1.573248407","0.187122736","0.496981891","0.315895372","0.095541401","0.038216560","0.089068825","0.380952380","0.3552","0.3205","0.3243","0.2066","0.5174","0.2761"
"2007","Marcus Giles","89","SDP","115","476","420","96","70","19","3","4","52","39","44","0","82","3","3","6","10","10","3","0.228571428","0.092436974","0.172268907","0.536585365","0.228571428","0.304255319","0.316666666","0.620921985","0.088095238","0.272997032","39.4678901906865","-19.41330997387","0.282496475285672","72.436444187608","1.203252032","0.202941176","0.435294117","0.361764705","0.040650406","0.032520325","0.040540540","0.000000000","0.3775","0.3516","0.2709","0.1585","0.5591","0.2824"
"2007","Wes Helms","94","PHI","110","308","280","69","45","19","0","5","21","39","19","2","62","3","4","2","10","0","0","0.246428571","0.061688311","0.201298701","0.306451612","0.246428571","0.297385620","0.367857142","0.665242762","0.121428571","0.294930875","27.7196511344527","-10.379948972025","0.290937600167174","66.886329710744","0.945054945","0.202702702","0.387387387","0.409909909","0.054945054","0.054945054","0.069767441","0.500000000","0.4063","0.3438","0.2500","0.1384","0.5402","0.3214"
"2007","Andruw Jones","96","ATL","153","659","572","127","72","27","2","26","83","94","70","4","138","8","9","0","16","5","2","0.222027972","0.106221547","0.209408194","0.507246376","0.222027972","0.311077389","0.412587412","0.723664801","0.190559440","0.242206235","72.64335440257","-8.8749458252509","0.315050716072548","85.7890007966421","0.886597938","0.171945701","0.389140271","0.438914027","0.108247422","0.134020618","0.075581395","0.000000000","0.5734","0.2980","0.1287","0.2032","0.4537","0.3431"
"2007","Chipper Jones","97","ATL","134","600","513","173","98","42","4","29","108","102","82","10","75","0","5","0","21","5","1","0.337231968","0.136666666","0.125000000","1.093333333","0.337231968","0.425000000","0.604288499","1.029288499","0.267056531","0.347826086","125.927533758833","51.7075335514091","0.433801675853083","162.528896997305","1.169696969","0.191873589","0.435665914","0.372460496","0.036363636","0.175757575","0.046632124","0.000000000","0.3657","0.3589","0.2754","0.1242","0.4673","0.4086"
