ParkName,Year,RecreationVisitors,NonRecreationVisitors,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays
Abraham Lincoln Birthplace NHP,1979,"271,231",0,"271,231",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1980,"239,074",0,"239,074",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1981,"252,245",0,"252,245",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1982,"318,707",0,"318,707",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1983,"256,126",0,"256,126",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1984,"258,023",0,"258,023",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1985,"264,905",0,"264,905",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1986,"280,620",0,"280,620",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1987,"292,825",0,"292,825",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1988,"288,324",0,"288,324",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1989,"309,823",0,"309,823",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1990,"307,669",0,"307,669",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1991,"316,945",0,"316,945",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1992,"302,739",0,"302,739",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1993,"293,710",0,"293,710",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1994,"279,542",0,"279,542",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1995,"268,509",0,"268,509",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1996,"249,344",0,"249,344",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1997,"262,889",0,"262,889",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1998,"250,842",0,"250,842",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,1999,"251,204",0,"251,204",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2000,"236,180",0,"236,180",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2001,"229,675",0,"229,675",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2002,"250,772",0,"250,772",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2003,"211,650",0,"211,650",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2004,"201,828",0,"201,828",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2005,"190,809",0,"190,809",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2006,"200,054",0,"200,054",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2007,"202,950",0,"202,950",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2008,"200,404",0,"200,404",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2009,"221,111",0,"221,111",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2010,"177,122",0,"177,122",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2011,"163,568",0,"163,568",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2012,"169,515",0,"169,515",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2013,"163,928",0,"163,928",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2014,"241,264",0,"241,264",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2015,"148,605",0,"148,605",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,2016,"252,495",0,"252,495",0,0,0,0,0,0,0,0
Acadia NP,1979,"2,787,366","395,913","17,155,530","198,056",0,0,"139,708","74,279",0,0,0
Acadia NP,1980,"2,779,666","493,429","18,671,588","276,719",0,0,"155,704","76,124",0,0,0
Acadia NP,1981,"2,997,972","405,001","20,907,596","202,499",0,0,"166,557","76,309",0,0,0
Acadia NP,1982,"3,572,114","183,047","24,505,138","91,512",0,0,"172,759","84,841",0,0,0
Acadia NP,1983,"4,124,639","183,024","27,263,187","91,512",0,0,"164,429","72,335",0,0,0
Acadia NP,1984,"3,734,763","183,034","24,733,407","91,512",0,0,"158,697","32,192",0,0,0
Acadia NP,1985,"3,745,570","183,024","28,932,970","91,512",0,0,"152,585","54,941",0,0,0
Acadia NP,1986,"3,929,054","183,024","25,221,989","91,512",0,0,"156,438","49,311",0,0,0
Acadia NP,1987,"4,288,154","188,280","28,251,442","94,135",0,0,"158,649","52,952",0,0,0
Acadia NP,1988,"4,502,283","188,676","29,668,170","94,332",0,0,"175,545","45,661",0,0,0
Acadia NP,1989,"5,440,952","188,676","35,285,688","94,333",0,0,"173,909","46,089",0,0,0
Acadia NP,1990,"2,339,591","252,546","12,738,818","252,576",0,0,"126,135","29,724",0,0,"9,748"
Acadia NP,1991,"2,475,857","252,576","13,198,380","252,576",0,0,"140,760","30,222",0,0,"9,581"
Acadia NP,1992,"2,382,113","252,576","12,689,318","252,576",0,0,"128,478","31,437",0,0,"9,796"
Acadia NP,1993,"2,656,034","252,576","14,140,929","252,576",0,0,"130,287","32,094",0,0,"10,518"
Acadia NP,1994,"2,710,749","252,576","14,431,349","252,576",0,0,"129,483","29,025",0,0,"10,511"
Acadia NP,1995,"2,845,378","252,576","15,169,080","252,576",0,0,"129,351","29,616",0,0,"10,476"
Acadia NP,1996,"2,704,831","252,576","14,442,606","252,576",0,0,"108,939","35,526",0,0,"9,512"
Acadia NP,1997,"2,760,306","252,576","14,702,522","252,576",0,0,"115,935","28,512",0,0,"10,286"
Acadia NP,1998,"2,594,497","252,576","13,838,352","252,576",0,0,"135,507","23,544",0,0,"11,111"
Acadia NP,1999,"2,602,227","252,576","13,910,921","252,576",0,0,"125,046","23,682",0,0,"10,218"
Acadia NP,2000,"2,469,238","252,576","13,230,679","252,576",0,0,"114,033","22,692",0,0,"9,747"
Acadia NP,2001,"2,516,551","252,576","13,467,741","252,576",0,0,"118,545","24,747",0,0,"10,382"
Acadia NP,2002,"2,558,572","252,576","13,683,657","252,576",0,0,"122,340","22,545",0,0,"11,262"
Acadia NP,2003,"2,431,062","34,500","13,012,171","34,500",0,0,"117,369","21,876",0,0,"9,693"
Acadia NP,2004,"2,207,847","34,500","11,822,104","34,500",0,0,"101,577","19,878",0,0,"8,618"
Acadia NP,2005,"2,051,484","47,100","10,568,105","47,100",0,0,"85,815","19,302","1,157",0,"5,378"
Acadia NP,2006,"2,083,588","47,100","10,720,555","47,100",0,0,"96,252","22,299","1,306",0,"7,300"
Acadia NP,2007,"2,202,228","47,100","11,331,597","47,100",0,0,"98,586","23,280","1,091",0,"7,352"
Acadia NP,2008,"2,075,857","47,100","10,635,395","47,100",0,0,"101,028","21,198","1,229",0,"6,698"
Acadia NP,2009,"2,227,698","47,100","11,447,560","47,100",0,0,"105,042","22,755","1,037",0,"7,212"
Acadia NP,2010,"2,504,208","47,100","12,827,516","47,100",0,0,"121,287","28,821",974,0,"8,549"
Acadia NP,2011,"2,374,645","47,100","12,101,384","47,100",0,0,"117,879","27,519","1,157",0,"7,243"
Acadia NP,2012,"2,431,052","47,100","12,458,831","47,100",0,0,"124,482","26,760","1,316",0,"8,083"
Acadia NP,2013,"2,254,922","47,100","11,347,331","47,100",0,0,"114,753","29,025","1,166",0,"7,047"
Acadia NP,2014,"2,563,129","47,100","13,085,317","47,100",0,0,"126,474","33,369","1,230",0,"8,474"
Acadia NP,2015,"2,811,184","47,100","14,452,151","47,100",0,0,"135,000","32,094","1,233",0,"8,343"
Acadia NP,2016,"3,303,393","47,100","22,698,596","47,100",0,977,"152,811","46,629","1,324",0,"8,563"
