Year,School Name (+ link to Common Data Set file),Total first-time first-year men who applied,Total first-time first-year women who applied,Total first-time first year students (no gender data) who applied,Total applied students,Total first-time first-year men admitted,Total first-time first-year women who were admitted,Total first-time first-year (no gender data) admitted,Total admitted (Total admitted/total applied),Admission rate,Total full-time first-time first-year men who enrolled,Total part-time first-year first-time men who enrolled,Total full-time first-time first-year women who enrolled,Total part-time first-year first-time women who enrolled,Total enrolled,Yield rate (#enrolled/#admitted),All undergraduates determined to have financial need,Undergraduates given aid,"""Meeting financial need"" ratio"
2016,UC Berkeley,39923.00,40451.00,2207.00,82581.00,6162.00,7720.00,554.00,14436.00,0.17,2821.00,20.00,3183.00,33.00,6057.00,0.42,16087.00,15926.00,0.99
2016,UC Davis,30838.00,36634.00,0.00,67472.00,11251.00,17366.00,0.00,28617.00,0.42,2090.00,0.00,3670.00,0.00,5760.00,0.20,14918.00,14468.00,0.97
2016,UC Irvine,36771.00,41039.00,0.00,77810.00,14309.00,17322.00,0.00,31631.00,0.41,3066.00,7.00,3475.00,4.00,6552.00,0.21,17395.00,17075.00,0.98
2016,UC Los Angeles,47142.00,55100.00,0.00,102242.00,7155.00,9301.00,0.00,16456.00,0.16,2410.00,5.00,3612.00,11.00,6038.00,0.37,16580.00,16579.00,1.00
2016,UC Merced,7473.00,8613.00,175.00,16261.00,5098.00,5717.00,110.00,10925.00,0.67,758.00,1.00,790.00,2.00,1551.00,0.14,5410.00,5044.00,0.93
2016,UC Riverside,19322.00,23307.00,0.00,42629.00,12224.00,16056.00,0.00,28280.00,0.66,2220.00,7.00,3125.00,6.00,5358.00,0.19,15552.00,15244.00,0.98
2016,UC San Diego,37009.00,41047.00,0.00,78056.00,12748.00,13761.00,0.00,26509.00,0.34,2711.00,0.00,2581.00,0.00,5292.00,0.20,17168.00,14918.00,0.87
2016,UC Santa Barbara ,41298.00,25800.00,67098.00,77099.00,16187.00,11393.00,27580.00,55160.00,0.72,2118.00,5.00,2864.00,9.00,4996.00,0.09,14643.00,12424.00,0.85
2016,UC Santa Cruz,21130.00,26423.00,1632.00,49185.00,12293.00,15513.00,1078.00,28884.00,0.59,2141.00,8.00,2063.00,9.00,4221.00,0.15,10730.00,10371.00,0.97
2015,UC Berkeley,38749.00,38911.00,1264.00,78924.00,5497.00,6394.00,157.00,12048.00,0.15,2655.00,16.00,2855.00,24.00,5550.00,0.46,12942.00,12941.00,1.00
2015,UC Davis,29625.00,34885.00,0.00,64510.00,9927.00,14687.00,0.00,24614.00,0.38,1972.00,0.00,3397.00,0.00,5369.00,0.22,17110.00,16823.00,0.98
2015,UC Irvine,33638.00,38130.00,0.00,71768.00,12474.00,15290.00,0.00,27764.00,0.39,2528.00,5.00,3218.00,5.00,5756.00,0.21,3611.00,3505.00,0.97
2015,UC Los Angeles ,43267.00,49461.00,0.00,92728.00,7133.00,8883.00,0.00,16016.00,0.17,2377.00,3.00,3294.00,5.00,5679.00,0.35,15855.00,15855.00,1.00
2015,UC Merced,8648.00,9974.00,0.00,18622.00,5117.00,6171.00,0.00,11288.00,0.61,827.00,6.00,969.00,1.00,1803.00,0.16,5349.00,5302.00,0.99
2015,UC Riverside,17467.00,21038.00,0.00,38505.00,9439.00,12169.00,0.00,21608.00,0.56,1831.00,6.00,2187.00,5.00,4029.00,0.19,14493.00,14301.00,0.99
2015,UC San Diego,37009.00,41047.00,0.00,78056.00,12748.00,13761.00,0.00,26509.00,0.34,2711.00,0.00,2581.00,0.00,5292.00,0.20,14918.00,14468.00,0.97
2015,UC Santa Barbara,32846.00,37598.00,0.00,70444.00,9856.00,13164.00,0.00,23020.00,0.33,1974.00,8.00,2485.00,6.00,4473.00,0.19,12424.00,11972.00,0.96
2015,UC Santa Cruz,19733.00,25138.00,0.00,44871.00,9936.00,13086.00,0.00,23022.00,0.51,1697.00,0.00,1873.00,0.00,3570.00,0.16,2290.00,2205.00,0.96
