Month,greenhouse gas
2011-01,56
2011-02,72
2011-03,76
2011-04,85
2011-05,71
2011-06,43
2011-07,31
2011-08,32
2011-09,56
2011-10,64
2011-11,62
2011-12,51
2012-01,49
2012-02,60
2012-03,62
2012-04,80
2012-05,59
2012-06,39
2012-07,33
2012-08,32
2012-09,50
2012-10,65
2012-11,64
2012-12,47
2013-01,43
2013-02,58
2013-03,64
2013-04,84
2013-05,69
2013-06,37
2013-07,33
2013-08,24
2013-09,47
2013-10,71
2013-11,66
2013-12,52
2014-01,43
2014-02,61
2014-03,65
2014-04,85
2014-05,80
2014-06,47
2014-07,34
2014-08,33
2014-09,53
2014-10,65
2014-11,74
2014-12,62
2015-01,49
2015-02,65
2015-03,76
2015-04,99
2015-05,74
2015-06,48
2015-07,31
2015-08,34
2015-09,61
2015-10,69
2015-11,85
2015-12,81
2016-01,55
2016-02,67
2016-03,81
2016-04,100
2016-05,78
2016-06,34
2016-07,29
2016-08,29
2016-09,54
2016-10,63
2016-11,76
2016-12,73
