,state,vet_pop,overall_pop_18,vet_pop_p,vet_suicides,all_suicides,vet_suicides_p,vet_males,vet_males_p,vet_females,vet_females_p,vet_15_24,vet_18_29,vet_17_34,vet_25_34,vet_30_39,vet_25_44,vet_35_44,vet_40_49,vet_35-54,vet_45_54,vet_50_59,vet_45_64,vet_55_64,vet_60,vet_65,vet_rate,civ_rate
0,Alabama,406762,3489439,0.116569454287638,130,592,0.219594594594595,,0.0,,0.0,,,,,,,,,,,,,,,,31.9597209178832,14.9869739839756
1,Alaska,74614,485178,0.153786857606899,30,149,0.201342281879195,29.0,0.966666666666667,1.0,0.033333333333333,1.0,,,4.0,,,2.0,,,8.0,,,6.0,,9.0,40.2069316750208,28.984518856987
2,Arizona,555500,4649090,0.119485748823963,224,1016,0.220472440944882,,0.0,,0.0,,,,,,,,,,,,,,,,40.3240324032403,19.3473210556016
3,Arkansas,251482,2127954,0.11818018622583,84,402,0.208955223880597,82.0,0.976190476190476,2.0,0.023809523809524,,,9.0,,,,,,34.0,,,,18.0,,33.0,33.4019929855815,16.9466957140847
4,California,2079606,27033547,0.076926864240198,655,3602,0.181843420322043,634.0,0.96793893129771,21.0,0.03206106870229,13.0,,,,,104.0,,,,,,248.0,,,290.0,31.4963507510557,11.8097578254273
5,Colorado,414228,3643412,0.113692330156458,196,811,0.241676942046856,185.0,0.943877551020408,11.0,0.056122448979592,6.0,,,11.0,,,30.0,,,39.0,,,43.0,,67.0,47.3169365663354,19.0450590613604
6,Connecticut,245359,2674817,0.091729265964737,39,271,0.143911439114391,,0.0,,0.0,,,,,,,,,,,,,,,,15.8950761944742,9.54945506363971
7,Delaware,78075,657092,0.118818978164397,15,95,0.157894736842105,15.0,1.0,0.0,0.0,0.0,,,0.0,,,1.0,,,2.0,,,4.0,,8.0,19.2122958693564,13.8165200676319
8,Florida*,1709427,14155099,0.12076404410877,595,2587,0.229996134518748,,0.0,,0.0,,,,,,,,,,,,,,,,34.8069850306565,16.0055640225775
9,Georgia,710726,6972297,0.101935703542176,211,997,0.211634904714142,,0.0,,0.0,5.0,,,16.0,,,24.0,,,39.0,,,39.0,,88.0,29.6879528819826,12.5527603216509
10,Hawaii,124261,960064,0.1294299130058,21,133,0.157894736842105,,0.0,,0.0,,,,,,,,,,,,,,,,16.8999122814077,13.4002869097144
11,Idaho,131795,1088296,0.121102163382021,48,223,0.2152466367713,48.0,1.0,0.0,0.0,1.0,,,4.0,,,,,13.0,,,,11.0,,19.0,36.4201980348268,18.2958512327745
12,Illinois,803229,9636981,0.083348613014802,183,1108,0.165162454873646,,0.0,,0.0,7.0,,,17.0,,,19.0,,,25.0,,,32.0,,83.0,22.7830419469417,10.4712018177554
13,Indiana,491684,4754575,0.103412818180384,101,790,0.127848101265823,98.0,0.97029702970297,3.0,0.02970297029703,,4.0,,,10.0,,,12.0,,,15.0,,,57.0,,20.5416487011983,16.1627402624182
14,Iowa,250852,2274820,0.110273340308244,63,322,0.195652173913044,,0.0,,0.0,,,,,,,,,,,,,,,,25.1144100904119,12.7966450062452
15,Kansas,231387,2067370,0.111923361565661,88,382,0.230366492146597,86.0,0.977272727272727,2.0,0.022727272727273,4.0,,,1.0,,,9.0,,,20.0,,,17.0,,37.0,38.0315229464058,16.0132201659819
16,Kentucky,335093,3220471,0.104050929196382,44,649,0.067796610169492,,0.0,,0.0,,,,,,,,,,,,,,,,13.1306831237895,20.9677900087961
17,Louisiana,315184,3199922,0.098497400874146,91,522,0.174329501915709,,0.0,,0.0,,7.0,,,11.0,,,9.0,,,22.0,,,42.0,,28.8720239606071,14.9406982540529
18,Maine,142506,1034884,0.137702389833063,39,191,0.204188481675393,,0.0,,0.0,,,,,,,,,,,,,,,,27.3672687465791,17.0331406646063
19,Maryland,461184,4232439,0.108964122105481,76,518,0.146718146718147,,0.0,,0.0,5.0,,,5.0,,,15.0,,,17.0,,,13.0,,21.0,16.4793227865668,11.7202363669389
20,Massachusetts,437588,5011861,0.087310482074423,50,516,0.096899224806202,47.0,0.94,3.0,0.06,0.0,,,3.0,,,3.0,,,3.0,,,18.0,,23.0,11.4262731153505,10.1874112017363
21,Michigan,749774,7616804,0.098436824683949,230,1131,0.203359858532272,224.0,0.973913043478261,6.0,0.026086956521739,3.0,,,9.0,,,22.0,,,38.0,,,53.0,,105.0,30.6759103409828,13.1206649745232
22,Minnesota,405354,3935350,0.103003290685708,125,572,0.218531468531469,123.0,0.984,2.0,0.016,5.0,,,6.0,,,11.0,,,19.0,,,34.0,,50.0,30.8372434958086,12.6629038673132
23,Mississippi,214698,2140780,0.100289614065901,83,396,0.20959595959596,80.0,0.963855421686747,3.0,0.036144578313253,6.0,,,8.0,,,10.0,,,9.0,,,18.0,,32.0,38.6589535067863,16.2506061528014
