"","Team Code","Name","Conference Code","Year"
"1",5,"Akron",875,2013
"2",8,"Alabama",911,2013
"3",9,"UAB",24312,2013
"4",28,"Arizona State",905,2013
"5",29,"Arizona",905,2013
"6",30,"Arkansas State",818,2013
"7",31,"Arkansas",911,2013
"8",37,"Auburn",911,2013
"9",47,"Ball State",875,2013
"10",51,"Baylor",25354,2013
"11",66,"Boise State",5486,2013
"12",67,"Boston College",821,2013
"13",71,"Bowling Green",875,2013
"14",77,"BYU",99001,2013
"15",86,"Buffalo",875,2013
"16",96,"Fresno State",5486,2013
"17",107,"California",905,2013
"18",110,"UCLA",905,2013
"19",128,"UCF",823,2013
"20",129,"Central Michigan",875,2013
"21",140,"Cincinnati",823,2013
"22",147,"Clemson",821,2013
"23",156,"Colorado State",5486,2013
"24",157,"Colorado",905,2013
"25",164,"Connecticut",823,2013
"26",193,"Duke",821,2013
"27",196,"East Carolina",24312,2013
"28",204,"Eastern Michigan",875,2013
"29",229,"Florida Atlantic",24312,2013
"30",231,"Florida International",24312,2013
"31",234,"Florida State",821,2013
"32",235,"Florida",911,2013
"33",254,"Georgia State",818,2013
"34",255,"Georgia Tech",821,2013
"35",257,"Georgia",911,2013
"36",277,"Hawai'i",5486,2013
"37",288,"Houston",823,2013
"38",295,"Idaho",99001,2013
"39",301,"Illinois",827,2013
"40",306,"Indiana",827,2013
"41",311,"Iowa State",25354,2013
"42",312,"Iowa",827,2013
"43",327,"Kansas State",25354,2013
"44",328,"Kansas",25354,2013
"45",331,"Kent State",875,2013
"46",334,"Kentucky",911,2013
"47",365,"LSU",911,2013
"48",366,"Louisiana Tech",24312,2013
"49",367,"Louisville",823,2013
"50",388,"Marshall",24312,2013
"51",392,"Maryland",821,2013
"52",400,"Massachusetts",875,2013
"53",404,"Memphis",823,2013
"54",414,"Miami (Ohio)",875,2013
"55",415,"Miami (Florida)",821,2013
"56",416,"Michigan State",827,2013
"57",418,"Michigan",827,2013
"58",419,"Middle Tennessee",24312,2013
"59",428,"Minnesota",827,2013
"60",430,"Mississippi State",911,2013
"61",433,"Mississippi",911,2013
"62",434,"Missouri",911,2013
"63",457,"North Carolina",821,2013
"64",463,"Nebraska",827,2013
"65",465,"UNLV",5486,2013
"66",466,"Nevada",5486,2013
"67",472,"New Mexico State",99001,2013
"68",473,"New Mexico",5486,2013
"69",490,"North Carolina State",821,2013
"70",497,"North Texas",24312,2013
"71",498,"Louisiana-Monroe",818,2013
"72",503,"Northern Illinois",875,2013
"73",509,"Northwestern",827,2013
"74",513,"Notre Dame",99001,2013
"75",518,"Ohio State",827,2013
"76",519,"Ohio",875,2013
"77",521,"Oklahoma State",25354,2013
"78",522,"Oklahoma",25354,2013
"79",528,"Oregon State",905,2013
"80",529,"Oregon",905,2013
"81",539,"Penn State",827,2013
"82",545,"Pittsburgh",821,2013
"83",559,"Purdue",827,2013
"84",574,"Rice",24312,2013
"85",587,"Rutgers",823,2013
"86",626,"San Diego State",5486,2013
"87",630,"San Jose State",5486,2013
"88",646,"South Alabama",818,2013
