Team,City,State
Air Force,Colorado Springs,Colorado
Akron,Akron,Ohio
Alabama,Tuscaloosa,Alabama
UAB,Birmingham,Alabama
Appalachian State,Boone,North Carolina
Arizona,Tucson,Arizona
Arizona State,Tempe,Arizona
Arkansas,Fayetteville,Arkansas
Arkansas State,Jonesboro,Arkansas
Army West Point,West Point,New York
Auburn,Auburn,Alabama
Ball State,Muncie,Indiana
Baylor,Waco,Texas
Boise State,Boise,Idaho
Boston College,Chestnut Hill,Massachusetts
Bowling Green,Bowling Green,Ohio
Buffalo,Buffalo,New York
BYU,Provo,Utah
California,Berkeley,California
UCLA,Los Angeles,California
UCF,Orlando,Florida
Central Michigan,Mount Pleasant,Michigan
Charlotte,Charlotte,North Carolina
Cincinnati,Cincinnati,Ohio
Clemson,Clemson,South Carolina
Coastal Carolina,Conway,South Carolina
Colorado,Boulder,Colorado
Colorado State,Fort Collins,Colorado
Connecticut,Storrs,Connecticut
Duke,Durham,North Carolina
Eastern Michigan,Ypsilanti,Michigan
East Carolina,Greenville,North Carolina
FIU,Miami,Florida
Florida,Gainesville,Florida
Florida Atlantic,Boca Raton,Florida
Florida State,Tallahassee,Florida
Fresno State,Fresno,California
Georgia,Athens,Georgia
Georgia Southern,Statesboro,Georgia
Georgia State,Atlanta,Georgia
Georgia Tech,Atlanta,Georgia
Hawai'i,Honolulu,Hawai'i
Houston,Houston,Texas
Illinois,Urbana–Champaign,Illinois
Indiana,Bloomington,Indiana
Iowa,Iowa City,Iowa
Iowa State,Ames,Iowa
Kansas,Lawrence,Kansas
Kansas State,Manhattan,Kansas
Kent State,Kent,Ohio
Kentucky,Lexington,Kentucky
LSU,Baton Rouge,Louisiana
Louisiana Tech,Ruston,Louisiana
Louisiana-Lafayette,Lafayette,Louisiana
Louisiana-Monroe,Monroe,Louisiana
Louisville,Louisville,Kentucky
Marshall,Huntington,West Virginia
Maryland,College Park,Maryland
Massachusetts,Amherst,Massachusetts
Memphis,Memphis,Tennessee
Miami (FL),Coral Gables,Florida
Miami (OH),Oxford,Ohio
Michigan,Ann Arbor,Michigan
Michigan State,East Lansing,Michigan
Middle Tennessee,Murfreesboro,Tennessee
Minnesota,Minneapolis,Minnesota
Ole Miss,Oxford,Mississippi
Mississippi State,Starkville,Mississippi
Missouri,Columbia,Missouri
Navy,Annapolis,Maryland
Nebraska,Lincoln,Nebraska
Nevada,Reno,Nevada
UNLV,Las Vegas,Nevada
New Mexico,Albuquerque,New Mexico
New Mexico State,Las Cruces,New Mexico
North Carolina,Chapel Hill,North Carolina
NC State,Raleigh,North Carolina
North Texas,Denton,Texas
NIU,DeKalb,Illinois
Northwestern,Evanston,Illinois
Notre Dame,South Bend,Indiana
Ohio,Athens,Ohio
Ohio State,Columbus,Ohio
Oklahoma,Norman,Oklahoma
Oklahoma State,Stillwater,Oklahoma
Old Dominion,Norfolk,Virginia
Oregon,Eugene,Oregon
Oregon State,Corvallis,Oregon
Penn State,State College,Pennsylvania
Pittsburgh,Pittsburgh,Pennsylvania
Purdue,West Lafayette,Indiana
Rice,Houston,Texas
Rutgers,Piscataway,New Jersey
San Diego State,San Diego,California
San Jose State,San Jose,California
South Alabama,Mobile,Alabama
South Carolina,Columbia,South Carolina
South Florida,Tampa,Florida
USC,Los Angeles,California
SMU,University Park,Texas
Southern Miss,Hattiesburg,Mississippi
Stanford,Stanford,California
Syracuse,Syracuse,New York
TCU,Fort Worth,Texas
Temple,Philadelphia,Pennsylvania
Tennessee,Knoxville,Tennessee
Texas,Austin,Texas
Texas A&M,College Station,Texas
Texas State,San Marcos,Texas
Texas Tech,Lubbock,Texas
UTEP,El Paso,Texas
UTSA,San Antonio,Texas
Toledo,Toledo,Ohio
Troy,Troy,Alabama
Tulane,New Orleans,Louisiana
Tulsa,Tulsa,Oklahoma
Utah,Salt Lake City,Utah
Utah State,Logan,Utah
Vanderbilt,Nashville,Tennessee
Virginia,Charlottesville,Virginia
Virginia Tech,Blacksburg,Virginia
Wake Forest,Winston-Salem,North Carolina
Washington,Seattle,Washington
Washington State,Pullman,Washington
West Virginia,Morgantown,West Virginia
Western Kentucky,Bowling Green,Kentucky
Western Michigan,Kalamazoo,Michigan
Wisconsin,Madison,Wisconsin
Wyoming,Laramie,Wyoming
