name,chamber,party,state,district,trump_score,trump_margin,predicted_score,trump_plus_minus
Cory Gardner,Senate, R, CO,NA,0.976,-0.049,0.449,0.527
Dean Heller,Senate, R, NV,NA,0.9520000000000001,-0.024,0.503,0.449
Ron Johnson,Senate, R, WI,NA,1.0,0.008,0.5770000000000001,0.423
Marco Rubio,Senate, R, FL,NA,1.0,0.012,0.5870000000000001,0.413
Patrick J. Toomey,Senate, R, PA,NA,0.976,0.006999999999999999,0.5760000000000001,0.4
Susan M. Collins,Senate, R, ME,NA,0.8809999999999999,-0.03,0.491,0.39
Richard Burr,Senate, R, NC,NA,1.0,0.037000000000000005,0.644,0.35600000000000004
Thom Tillis,Senate, R, NC,NA,1.0,0.037000000000000005,0.644,0.35600000000000004
Jeff Flake,Senate, R, AZ,NA,0.975,0.035,0.638,0.337
David Perdue,Senate, R, GA,NA,1.0,0.052000000000000005,0.67,0.33
Johnny Isakson,Senate, R, GA,NA,1.0,0.052000000000000005,0.679,0.321
John McCain,Senate, R, AZ,NA,0.927,0.035,0.645,0.282
John Cornyn,Senate, R, TX,NA,1.0,0.09,0.755,0.245
Rob Portman,Senate, R, OH,NA,0.976,0.081,0.7390000000000001,0.237
Ted Cruz,Senate, R, TX,NA,0.976,0.09,0.755,0.221
Joni Ernst,Senate, R, IA,NA,0.976,0.094,0.763,0.214
Chuck Grassley,Senate, R, IA,NA,0.976,0.094,0.763,0.214
Dan Sullivan,Senate, R, AK,NA,1.0,0.147,0.846,0.154
Tim Scott,Senate, R, SC,NA,0.976,0.14300000000000002,0.8390000000000001,0.13699999999999998
Dianne Feinstein,Senate, D, CA,NA,0.317,-0.301,0.182,0.135
Thad Cochran,Senate, R, MS,NA,1.0,0.17800000000000002,0.882,0.11800000000000001
Roger F. Wicker,Senate, R, MS,NA,1.0,0.17800000000000002,0.882,0.11800000000000001
Orrin G. Hatch,Senate, R, UT,NA,1.0,0.18100000000000002,0.884,0.11599999999999999
Lindsey Graham,Senate, R, SC,NA,0.9520000000000001,0.14300000000000002,0.8390000000000001,0.113
Roy Blunt,Senate, R, MO,NA,1.0,0.18600000000000003,0.89,0.11
Lisa Murkowski,Senate, R, AK,NA,0.951,0.147,0.8420000000000001,0.109
Bill Cassidy,Senate, R, LA,NA,1.0,0.196,0.899,0.10099999999999999
Jerry Moran,Senate, R, KS,NA,1.0,0.20600000000000002,0.9059999999999999,0.094
Mazie K. Hirono,Senate, D, HI,NA,0.262,-0.322,0.168,0.094
Brian Schatz,Senate, D, HI,NA,0.262,-0.322,0.168,0.094
Pat Roberts,Senate, R, KS,NA,1.0,0.20600000000000002,0.9079999999999999,0.092
John Kennedy,Senate, R, LA,NA,0.976,0.196,0.899,0.077
Steve Daines,Senate, R, MT,NA,0.976,0.204,0.9059999999999999,0.07
Mike Lee,Senate, R, UT,NA,0.9520000000000001,0.18100000000000002,0.884,0.068
Benjamin L. Cardin,Senate, D, MD,NA,0.262,-0.264,0.198,0.064
Lamar Alexander,Senate, R, TN,NA,1.0,0.26,0.9420000000000001,0.057999999999999996
Todd Young,Senate, R, IN,NA,0.9520000000000001,0.192,0.895,0.057
John Boozman,Senate, R, AR,NA,1.0,0.26899999999999996,0.9490000000000001,0.051
Richard C. Shelby,Senate, R, AL,NA,1.0,0.27699999999999997,0.9520000000000001,0.048
Mitch McConnell,Senate, R, KY,NA,1.0,0.298,0.96,0.04
Patrick J. Leahy,Senate, D, VT,NA,0.23800000000000002,-0.264,0.198,0.04
Mike Rounds,Senate, R, SD,NA,1.0,0.298,0.961,0.039
John Thune,Senate, R, SD,NA,1.0,0.298,0.961,0.039
Deb Fischer,Senate, R, NE,NA,0.976,0.25,0.9390000000000001,0.037000000000000005
Ben Sasse,Senate, R, NE,NA,0.976,0.25,0.945,0.031
Tom Cotton,Senate, R, AR,NA,0.976,0.26899999999999996,0.9490000000000001,0.027000000000000003
John Hoeven,Senate, R, ND,NA,1.0,0.35700000000000004,0.976,0.024
James M. Inhofe,Senate, R, OK,NA,1.0,0.364,0.977,0.023
James Lankford,Senate, R, OK,NA,1.0,0.364,0.977,0.023
Luther Strange,Senate, R, AL,NA,0.9670000000000001,0.27699999999999997,0.946,0.021
Shelley Moore Capito,Senate, R, WV,NA,1.0,0.42200000000000004,0.983,0.017
John Barrasso,Senate, R, WY,NA,1.0,0.46299999999999997,0.985,0.015
Michael B. Enzi,Senate, R, WY,NA,1.0,0.46299999999999997,0.985,0.015
Mark R. Warner,Senate, D, VA,NA,0.452,-0.053,0.44,0.012
Mike Crapo,Senate, R, ID,NA,0.976,0.318,0.9670000000000001,0.009000000000000001
James E. Risch,Senate, R, ID,NA,0.976,0.318,0.9670000000000001,0.009000000000000001
Chris Van Hollen,Senate, D, MD,NA,0.19,-0.264,0.198,-0.008
Charles E. Schumer,Senate, D, NY,NA,0.214,-0.225,0.223,-0.009000000000000001
Angus S. King Jr.,Senate, I, ME,NA,0.47600000000000003,-0.03,0.491,-0.015
Bob Corker,Senate, R, TN,NA,0.927,0.26,0.943,-0.016
Maria Cantwell,Senate, D, WA,NA,0.262,-0.155,0.284,-0.022000000000000002
Thomas R. Carper,Senate, D, DE,NA,0.31,-0.114,0.335,-0.025
Tammy Duckworth,Senate, D, IL,NA,0.23800000000000002,-0.171,0.268,-0.03
Kamala D. Harris,Senate, D, CA,NA,0.14300000000000002,-0.301,0.17800000000000002,-0.035
