state,dist,year,inc,dem_money_pct,dem_group_pct,dem_indiv_pct,dem_vote_pct
"AK",1,1992,0,48.9011,45.46562,44.83313,50.14117
"AK",1,1994,0,76.89373,93.35863,64.46097,57.31649
"AK",1,1996,1,73.26038,93.44235,81.61937,51.71487
"AK",1,1998,1,100,100,100,100
"AK",1,2000,1,0,0,.0104712,0
"AK",1,2004,0,58.26129,43.79245,60.02285,45.74966
"AK",1,2006,0,0,0,.0046179,0
"AK",1,2008,1,0,0,.0058102,0
"AK",1,2010,1,27.59087,9.869795,26.07774,32.32801
"AK",2,1990,0,90.72205,96.36018,86.42373,73.79892
"AK",2,1992,1,94.27723,95.18647,78.4892,68.44173
"AK",2,1996,0,45.09825,71.5736,19.22854,62.46873
"AK",2,1998,1,100,100,100,100
"AK",2,2000,0,54.8915,60.72953,69.10838,48.27187
"AK",2,2002,0,34.66074,25.22757,52.12317,40.92127
"AK",2,2004,0,12.33441,3.295146,14.74535,33.69294
"AK",2,2006,0,25.46699,10.78548,22.91082,43.40457
"AK",2,2008,0,61.93578,43.13704,66.33308,42.6703
"AK",2,2010,0,42.06128,44.90963,33.85589,35.1032
"AK",3,1990,1,100,100,100,100
"AK",3,1992,0,64.29348,80.17179,56.97663,69.99866
"AK",3,1994,0,76.27633,92.16334,59.3779,65.67051
"AK",3,1996,1,60.78775,84.09518,28.67101,64.2411
"AK",3,1998,0,100,100,100,100
"AK",3,2000,1,73.28162,85.1592,72.34692,64.86848
"AK",3,2002,1,84.13915,94.12711,87.19474,65.15902
"AK",3,2004,0,80.22018,97.91893,86.65588,71.25938
"AK",3,2006,1,100,100,100,100
"AK",3,2008,1,100,100,100,100
"AK",3,2010,1,100,100,100,100
"AK",4,1992,1,21.78444,11.40522,29.29978,27.87667
"AK",4,1994,0,57.11034,53.74101,61.87874,52.40755
"AK",4,1996,0,54.46429,52.6998,38.02702,47.68649
"AK",4,1998,1,63.20368,17.30988,71.92558,26.94721
"AK",4,2000,1,0,0,.021978,0
"AK",4,2002,0,40.08549,33.25351,30.10899,45.06927
"AK",4,2004,0,21.77765,10.21025,20.61847,34.78313
"AK",4,2006,0,49.3871,49.62212,55.08345,50.54573
"AK",4,2008,1,52.42712,55.64387,50.15422,47.3138
"AK",4,2010,1,0,0,.0097314,0
"AK",5,1994,1,100,100,100,100
"AK",5,1996,0,99.99999,100,100,53.39518
"AK",5,1998,1,100,100,100,100
"AK",5,2000,1,76.9594,91.53846,76.69903,60.84025
"AK",5,2002,0,58.17083,71.46414,54.51226,56.9212
"AK",5,2004,0,49.84261,32.80942,52.81071,49.44249
"AK",5,2006,0,24.89041,23.12746,10.95098,42.90082
"AK",5,2008,0,31.27278,19.74078,26.93501,38.45573
"AK",5,2010,0,39.25877,28.40831,31.59084,37.6969
"AK",6,1990,0,67.42249,74.993,52.16834,57.51406
"AK",6,1992,1,100,100,100,100
"AK",6,1994,0,49.77806,50.46231,38.41004,46.72799
"AK",6,1996,1,14.78366,7.853403,8.995972,30.19111
"AK",6,1998,1,56.22243,46.48497,54.3436,42.73352
"AK",6,2000,0,63.76586,70.62854,75.10596,44.1791
"AK",6,2004,0,35.07073,32.25428,15.02686,50.56403
"AK",6,2006,0,68.97266,85.50484,44.51653,51.68269
"AK",6,2008,1,80.3868,89.77618,70.15788,53.70732
"AK",6,2010,0,68.00152,90.17039,31.9811,41.37802
"AK",7,1990,0,38.34795,25.95688,52.45134,46.84263
"AK",7,1992,0,47.17333,43.45562,53.90262,44.14807
"AK",7,1994,0,33.9724,12.90529,55.05233,44.80429
"AK",7,1996,1,0,0,.001414,48.32195
"AK",7,1998,1,42.01223,30.65548,36.56056,45.11684
"AK",7,2000,0,53.34033,31.36891,56.23763,34.79469
"AK",7,2002,1,45.87864,31.86775,32.12109,42.8534
"AK",7,2004,0,44.7322,41.87511,38.10205,46.43517
"AK",7,2006,1,5.492893,.9311423,6.563439,41.31649
"AK",7,2008,0,48.167,42.24607,41.00042,49.99502
"AK",7,2010,1,47.01146,48.81701,33.23257,53.76284
"AK",8,1992,0,66.22285,66.03164,76.24715,48.06782
"AK",8,1994,1,32.74424,21.7268,40.39461,37.7039
"AK",8,1996,1,23.51425,17.66017,40.92852,26.91486
"AK",8,1998,0,43.33764,19.86116,61.57758,31.99015
"AK",8,2000,0,22.76856,14.26306,19.67855,36.69456
"AK",8,2002,0,71.22929,79.34518,81.04514,53.76471
"AK",8,2004,1,57.95579,70.35526,53.43645,51.78019
"AK",8,2006,0,85.8229,95.59409,83.66042,64.1581
"AK",8,2008,0,84.98043,94.5003,85.55801,62.86761
"AK",8,2010,1,61.27338,61.51044,56.64861,54.98744
"AK",9,1992,0,79.26682,90.87711,76.77015,52.22268
"AK",9,1994,0,78.37804,85.54913,79.72292,51.4095
"AK",9,1996,0,63.14695,48.88995,85.1376,42.86245
"AK",9,1998,1,49.4245,35.15937,39.26191,52.27676
