Characteristic,All Households,..New England,Male,Female,Average salary,,Mean income (All),Std. Error All=,std. dev All,Mean Income New England,std. error NE,st. dev NE,Mean Income Male,std. error M,std. dev M,Mean Income Female,std. error F,std. dev F
"Under $5,000","4,253",99,"1,056","1,142","2,500",,"75,195",664,233751.5784,89687,3778,288318.5842,46106,1280,159769.4339,34585,906,124926.1977
"$5,000 to  $9,999","4,586",153,"1,015","1,812","7,500",,,,,,,,,,,,,
"$10,000 to $14,999","6,891",264,"1,683","2,692","12,500",,,,,,,,,,,,,
"$15,000 to $19,999","7,085",395,"1,454","2,412","17,500",,,,,,,,,,,,,
"$20,000 to $24,999","6,909",279,"1,071","1,941","22,500",,,,,,,,,,,,,
"$25,000 to $29,999","6,282",189,"1,056","1,320","27,500",,,,,,,,,,,,,
"$30,000 to $34,999","5,988",289,782,"1,225","32,500",,,,,,,,,,,,,
"$35,000 to $39,999","5,583",244,819,956,"37,500",,,,,,,,,,,,,
"$40,000 to $44,999","5,692",228,882,847,"42,500",,,,,,,,,,,,,
"$45,000 to $49,999","5,009",215,639,657,"47,500",,,,,,,,,,,,,
"$50,000 to $54,999","4,742",181,541,652,"52,500",,,,,,,,,,,,,
"$55,000 to $59,999","4,304",225,513,539,"57,500",,,,,,,,,,,,,
"$60,000 to $64,999","4,915",220,645,407,"62,500",,,,,,,,,,,,,
"$65,000 to $69,999","3,687",174,333,332,"67,500",,,,,,,,,,,,,
"$70,000 to $74,999","3,782",213,355,266,"72,500",,,,,,,,,,,,,
"$75,000 to $79,999","3,548",178,247,303,"77,500",,,,,,,,,,,,,
"$80,000 to $84,999","3,312",131,315,218,"82,500",,,,,,,,,,,,,
"$85,000 to $89,999","2,750",118,183,146,"87,500",,,,,,,,,,,,,
"$90,000 to $94,999","2,687",125,184,135,"92,500",,,,,,,,,,,,,
"$95,000 to $99,999","2,317",104,119,102,"97,500",,,,,,,,,,,,,
"$100,000 to $104,999","2,520",142,189,167,"102,500",,,,,,,,,,,,,
"$105,000 to $109,999","2,019",110,139,94,"107,500",,,,,,,,,,,,,
"$110,000 to $114,999","1,973",96,153,35,"112,500",,,,,,,,,,,,,
"$115,000 to $119,999","1,615",98,117,60,"117,500",,,,,,,,,,,,,
"$120,000 to $124,999","1,605",54,157,87,"122,500",,,,,,,,,,,,,
"$125,000 to $129,999","1,382",77,99,72,"127,500",,,,,,,,,,,,,
"$130,000 to $134,999","1,334",85,102,14,"132,500",,,,,,,,,,,,,
"$135,000 to $139,999","1,182",88,66,58,"137,500",,,,,,,,,,,,,
"$140,000 to $144,999","1,056",76,46,18,"142,500",,,,,,,,,,,,,
"$145,000 to $149,999","1,085",51,63,19,"147,500",,,,,,,,,,,,,
"$150,000 to $154,999","1,316",84,88,16,"152,500",,,,,,,,,,,,,
"$155,000 to $159,999",769,48,14,21,"157,500",,,,,,,,,,,,,
"$160,000 to $164,999",764,46,18,10,"162,500",,,,,,,,,,,,,
"$165,000 to $169,999",765,44,57,13,"167,500",,,,,,,,,,,,,
"$170,000 to $174,999",724,36,38,17,"172,500",,,,,,,,,,,,,
"$175,000 to $179,999",628,27,20,14,"177,500",,,,,,,,,,,,,
"$180,000 to $184,999",757,49,54,25,"182,500",,,,,,,,,,,,,
"$185,000 to $189,999",512,23,21,1,"187,500",,,,,,,,,,,,,
"$190,000 to $194,999",443,36,29,21,"192,500",,,,,,,,,,,,,
"$195,000 to $199,999",347,31,5,0,"197,500",,,,,,,,,,,,,
"$200,000 and over","6,811",499,213,147,"202,500",,,,,,,,,,,,,
