RK,SCHOOL,CONF,COACH,SCHOOL PAY,TOTAL PAY,MAX BONUS,BONUSES PAID (2016-17),ASST PAY TOTAL,SCHOOL BUYOUT AS OF 12/1/17
1,Alabama,SEC,Nick Saban,"$11,132,000","$11,132,000","$700,000","$550,000","$5,995,000","$26,900,000"
2,Clemson,ACC,Dabo Swinney,"$8,504,600","$8,526,800","$1,000,000","$1,525,000","$5,725,000","$40,000,000"
3,Michigan,Big Ten,Jim Harbaugh,"$7,004,000","$7,004,000","$1,325,000","$200,000","$5,645,000","$20,555,556"
4,Ohio State,Big Ten,Urban Meyer,"$6,431,240","$6,431,240","$775,000","$300,000","$4,485,000","$21,345,100"
5,Arizona,Pac-12,Rich Rodriguez,"$5,631,563","$6,031,563","$2,025,000","$25,000","$2,730,000","$6,487,500"
6,Florida State,ACC,Jimbo Fisher,"$5,700,000","$5,700,000","$1,475,000","$200,000","$4,691,000","$39,312,500"
7,Stanford,Pac-12,David Shaw,"$5,680,441","$5,680,441",--,--,--,--
8,Texas,Big 12,Tom Herman,"$5,486,316","$5,486,316","$725,000",--,"$4,600,000","$20,416,667"
9,Texas Christian,Big 12,Gary Patterson,"$5,104,077","$5,104,077",--,--,--,--
10,Texas A&M,SEC,Kevin Sumlin,"$5,000,000","$5,000,000","$1,050,000","$100,000","$4,818,000","$10,416,667"
11,Auburn,SEC,Gus Malzahn,"$4,725,000","$4,726,960","$1,400,000","$275,000","$4,875,000","$6,898,958"
12,Penn State,Big Ten,James Franklin,"$4,600,000","$4,600,000","$1,000,000","$900,000",--,"$21,858,333"
13,Iowa,Big Ten,Kirk Ferentz,"$4,550,000","$4,550,000","$2,875,000","$600,000","$3,870,000","$22,537,500"
14,Mississippi State,SEC,Dan Mullen,"$4,500,000","$4,500,000","$1,150,000","$150,000","$3,195,000",--
15,Florida,SEC,Jim McElwain,"$4,457,400","$4,457,400","$925,000","$300,000","$4,997,825","$12,916,668"
16,Michigan State,Big Ten,Mark Dantonio,"$4,380,492","$4,390,492","$650,000",$0,"$3,529,120","$7,000,000"
17,Arkansas,SEC,Bret Bielema,"$4,200,000","$4,245,000","$1,000,000","$125,000","$3,947,000","$5,874,227"
18,Oklahoma State,Big 12,Mike Gundy,"$4,200,000","$4,200,000","$900,000","$62,500","$3,641,314","$13,800,000"
19,Washington,Pac-12,Chris Petersen,"$4,125,000","$4,127,500","$1,050,000","$675,000","$4,678,040","$30,671,875"
20,Tennessee,SEC,Butch Jones,"$4,110,000","$4,110,000","$1,000,000","$250,000","$4,655,400","$8,125,000"
21,Louisville,ACC,Bobby Petrino,"$3,930,434","$3,930,434","$1,468,750","$989,584","$3,618,500","$13,943,750"
22,Kentucky,SEC,Mark Stoops,"$3,750,000","$3,763,600","$3,100,000","$425,000","$4,025,000","$14,765,625"
23,Georgia,SEC,Kirby Smart,"$3,753,600","$3,753,600","$1,800,000","$75,000","$4,565,200","$10,800,000"
24,Utah,Pac-12,Kyle Whittingham,"$3,687,917","$3,687,917","$935,000","$330,833","$3,125,000","$12,250,000"
25,UCLA,Pac-12,Jim Mora,"$3,550,000","$3,550,000","$1,065,000","$95,000","$3,707,500","$12,275,000"
26,West Virginia,Big 12,Dana Holgorsen,"$3,505,000","$3,505,000","$750,000","$185,000","$3,107,000","$10,141,667"
27,Texas Tech,Big 12,Kliff Kingsbury,"$3,503,975","$3,503,975","$1,500,000","$90,000","$2,395,000","$6,993,750"
28,LSU,SEC,Ed Orgeron,"$3,500,000","$3,500,000","$1,575,000","$25,000","$5,915,000","$8,791,667"
29,Minnesota,Big Ten,P.J. Fleck,"$3,500,000","$3,500,000","$900,000",--,"$3,435,000","$9,583,333"
30,Virginia,ACC,Bronco Mendenhall,"$3,400,000","$3,400,000","$2,165,000",$0,"$2,710,000","$17,425,000"
31,Purdue,Big Ten,Jeff Brohm,"$3,333,333","$3,333,333","$1,200,000",--,"$3,050,000","$15,844,445"
