Rank,School,Conference,Name,Total Pay,Career Wins,Career Losses,Winning Percentage = Career Wins/ Career Losses,Career Length (years),
1,Alabama,SEC,Nick Saban,"$11,132,000",205,61,0.7706766917,21,
2,Clemson,ACC,Dabo Swinney,"$8,526,800",89,28,0.7606837607,9,
3,Michigan,Big Ten,Jim Harbaugh,"$7,004,000",78,33,0.7027027027,9,
4,Ohio State,Big Ten,Urban Meyer,"$6,431,240",165,29,0.8505154639,15,
5,Arizona,Pac-12,Rich Rodriguez,"$6,031,563",156,113,0.5799256506,23,
6,Florida State,ACC,Jimbo Fisher,"$5,700,000",78,17,0.8210526316,7,
7,Stanford,Pac-12,David Shaw,"$5,680,441",64,17,0.7901234568,6,
8,Texas,Big 12,Tom Herman,"$5,486,316",22,4,0.8461538462,2,
9,Texas Christian,Big 12,Gary Patterson,"$5,104,077",149,54,0.7339901478,17,
10,Texas A&M,SEC,Kevin Sumlin,"$5,000,000",79,38,0.6752136752,9,
11,Auburn,SEC,Gus Malzahn,"$4,726,960",44,21,0.6769230769,5,
12,Penn State,Big Ten,James Franklin,"$4,600,000",49,30,0.6202531646,6,
13,Iowa,Big Ten,Kirk Ferentz,"$4,550,000",147,113,0.5653846154,21,
14,Mississippi State,SEC,Dan Mullen,"$4,500,000",61,42,0.5922330097,8,
15,Florida,SEC,Jim McElwain,"$4,457,400",41,42,0.4939759036,5,
16,Michigan State,Big Ten,Mark Dantonio,"$4,390,492",108,59,0.6467065868,13,
17,Arkansas,SEC,Bret Bielema,"$4,245,000",93,50,0.6503496503,11,
18,Oklahoma State,Big 12,Mike Gundy,"$4,200,000",104,50,0.6753246753,12,
19,Washington,Pac-12,Chris Petersen,"$4,127,500",119,26,0.8206896552,11,
20,Tennessee,SEC,Butch Jones,"$4,110,000",80,48,0.625,10,
21,Louisville,ACC,Bobby Petrino,"$3,930,434",109,43,0.7171052632,12,
22,Kentucky,SEC,Mark Stoops,"$3,763,600",19,30,0.387755102,4,
23,Georgia,SEC,Kirby Smart,"$3,753,600",8,5,0.6153846154,1,
24,Utah,Pac-12,Kyle Whittingham,"$3,687,917",104,50,0.6753246753,13,
25,UCLA,Pac-12,Jim Mora,"$3,550,000",41,24,0.6307692308,5,
26,West Virginia,Big 12,Dana Holgorsen,"$3,505,000",46,31,0.5974025974,6,
27,Texas Tech,Big 12,Kliff Kingsbury,"$3,503,975",24,26,0.48,4,
29,Minnesota,Big Ten,P.J. Fleck,"$3,500,000",30,22,0.5769230769,4,
28,LSU,SEC,Ed Orgeron,"$3,500,000",22,29,0.431372549,5,
30,Virginia,ACC,Bronco Mendenhall,"$3,400,000",101,53,0.6558441558,12,
31,Purdue,Big Ten,Jeff Brohm,"$3,333,333",30,10,0.75,3,
32,Northwestern,Big Ten,Pat Fitzgerald,"$3,305,818",77,62,0.5539568345,11,
33,Virginia Tech,ACC,Justin Fuente,"$3,250,000",36,27,0.5714285714,5,
