Name,School,Career Wins,Career Losses,Winning Percentage,Career Length (years)
Nick Saban,Alabama,205,61,0.770676692,21
Dabo Swinney,Clemson,89,28,0.760683761,9
Jim Harbaugh,Michigan,78,33,0.702702703,9
Urban Meyer,Ohio State,165,29,0.850515464,15
Rich Rodriguez,Arizona,156,113,0.579925651,23
Jimbo Fisher,Florida State,78,17,0.821052632,7
David Shaw,Stanford,64,17,0.790123457,6
Tom Herman,Texas,22,4,0.846153846,2
Gary Patterson,Texas Christian,149,54,0.733990148,17
Kevin Sumlin,Texas A&M,79,38,0.675213675,9
Gus Malzahn,Auburn,44,21,0.676923077,5
James Franklin,Penn State,49,30,0.620253165,6
Kirk Ferentz,Iowa,147,113,0.565384615,21
Dan Mullen,Mississippi State,61,42,0.59223301,8
Jim McElwain,Florida,41,42,0.493975904,5
Mark Dantonio,Michigan State,108,59,0.646706587,13
Bret Bielema,Arkansas,93,50,0.65034965,11
Mike Gundy,Oklahoma State,104,50,0.675324675,12
Chris Petersen,Washington,119,26,0.820689655,11
Butch Jones,Tennessee,80,48,0.625,10
Bobby Petrino,Louisville,109,43,0.717105263,12
Mark Stoops,Kentucky,19,30,0.387755102,4
Kirby Smart,Georgia,8,5,0.615384615,1
Kyle Whittingham,Utah,104,50,0.675324675,13
Jim Mora,UCLA,41,24,0.630769231,5
Dana Holgorsen,West Virginia,46,31,0.597402597,6
Kliff Kingsbury,Texas Tech,24,26,0.48,4
P.J. Fleck,Minnesota,30,22,0.576923077,4
Ed Orgeron,LSU,22,29,0.431372549,5
Bronco Mendenhall,Virginia,101,53,0.655844156,12
Jeff Brohm,Purdue,30,10,0.75,3
Pat Fitzgerald,Northwestern,77,62,0.553956835,11
Justin Fuente,Virginia Tech,36,27,0.571428571,5
Todd Graham,Arizona State,88,55,0.615384615,11
Bill Snyder,Kansas State,202,105,0.657980456,25
Paul Chryst,Wisconsin,40,25,0.615384615,5
Will Muschamp,South Carolina,34,28,0.548387097,5
Mike Leach,Washington State,113,77,0.594736842,15
Lovie Smith,Illinois,3,9,0.25,1
Paul Johnson,Georgia Tech,177,87,0.670454545,20
Willie Taggart,Oregon,51,47,0.520408163,8
Mike Riley,Nebraska,108,91,0.542713568,16
Mike MacIntyre,Colorado,36,52,0.409090909,7
Derek Mason,Vanderbilt,13,24,0.351351351,3
Gary Andersen,Oregon State,55,56,0.495495495,9
David Cutcliffe,Duke,96,90,0.516129032,16
DJ Durkin,Maryland,7,7,0.5,2
Steve Addazio,Boston College,37,38,0.493333333,6
Barry Odom,Missouri,4,8,0.333333333,1
Larry Fedora,North Carolina,74,44,0.627118644,9
Dave Doeren,North Carolina State,48,30,0.615384615,6
Lincoln Riley,Oklahoma,0,0,#DIV/0!,0
Matt Campbell,Iowa State,38,24,0.612903226,6
Chris Ash,Rutgers,2,10,0.166666667,1
Chad Morris,Southern Methodist,7,17,0.291666667,2
Scott Frost,Central Florida,6,7,0.461538462,1
Ken Niumatalolo,Navy,77,42,0.647058824,10
Luke Fickell,Cincinnati,6,7,0.461538462,1
Mike Norvell,Memphis,8,5,0.615384615,1
Tom Allen,Indiana,0,0,#DIV/0!,0
Pat Narduzzi,Pittsburgh,16,10,0.615384615,2
Dave Clawson,Wake Forest,103,104,0.497584541,17
Major Applewhite,Houston,0,0,#DIV/0!,0
Brian Kelly,Notre Dame,230,88,0.72327044,27
David Beaty,Kansas,2,22,0.083333333,2
Justin Wilcox,California,0,0,#DIV/0!,0
Bryan Harsin,Boise State,38,14,0.730769231,4
Jeff Tedford,Fresno State,82,57,0.589928058,11
Mike Bobo,Colorado State,14,12,0.538461538,2
Craig Bohl,Wyoming,118,56,0.67816092,14
Philip Montgomery,Tulsa,16,10,0.615384615,2
Matt Luke,Mississippi,0,0,#DIV/0!,0
Mark Hudspeth,Louisiana-Lafayette,90,52,0.633802817,13
Frank Wilson,Texas-San Antonio,6,7,0.461538462,1
Matt Wells,Utah State,28,25,0.528301887,4
Scottie Montgomery,East Carolina,3,9,0.25,1
Randy Edsall,Connecticut,96,104,0.48,17
Charlie Strong,South Florida,53,37,0.588888889,8
Seth Littrell,North Texas,5,8,0.384615385,1
Lane Kiffin,Florida Atlantic,35,21,0.625,5
Butch Davis,Florida International,63,43,0.594339623,10
Rocky Long,San Diego State,119,95,0.556074766,17
Bob Davie,New Mexico,62,61,0.504065041,10
Rick Stockstill,Middle Tennessee,72,66,0.52173913,11
Neal Brown,Troy,14,11,0.56,2
Mike Sanford Jr.,Western Kentucky,0,0,#DIV/0!,0
Tim Lester,Western Michigan,38,23,0.62295082,6
David Bailiff,Rice,77,84,0.47826087,13
Doc Holliday,Marshall,53,37,0.588888889,7
Blake Anderson,Arkansas State,24,15,0.615384615,3
Skip Holtz,Louisiana Tech,119,93,0.561320755,17
Jason Candle,Toledo,10,4,0.714285714,2
Scott Satterfield,Appalachian State,32,18,0.64,4
Everett Withers,Texas State,27,23,0.54,4
Bobby Wilder,Old Dominion,67,30,0.690721649,8
Bill Clark,Alabama at Birmingham,17,10,0.62962963,2
Brad Lambert,Charlotte,16,30,0.347826087,4
Rod Carey,Northern Illinois,36,19,0.654545455,5
Tony Sanchez,Nevada-Las Vegas,7,17,0.291666667,2
Brent Brennan,San Jose State,0,0,#DIV/0!,0
Joey Jones,South Alabama,49,49,0.5,9
Shawn Elliott,Georgia State,0,0,#DIV/0!,0
John Bonamego,Central Michigan,13,13,0.5,2
Tyson Summers,Georgia Southern,5,7,0.416666667,1
Frank Solich,Ohio,146,86,0.629310345,18
Chuck Martin,Miami (Ohio),85,33,0.720338983,9
Sean Kugler,Texas-El Paso,18,31,0.367346939,4
Jay Hopson,Southern Mississippi,39,23,0.629032258,5
Mark Whipple,Massachusetts,128,88,0.592592593,19
Jay Norvell,Nevada,0,0,#DIV/0!,0
Paul Petrino,Idaho,15,33,0.3125,4
Chris Creighton,Eastern Michigan,149,73,0.671171171,20
Mike Neu,Ball State,4,8,0.333333333,1
Mike Jinks,Bowling Green,4,8,0.333333333,1
Paul Haynes,Kent State,12,35,0.255319149,4
Terry Bowden,Akron,164,99,0.623574144,23
Lance Leipold,Buffalo,116,23,0.834532374,10
Nick Rolovich,Hawaii,7,7,0.5,1
Joe Moglia,Coastal Carolina,51,15,0.772727273,5
Matt Viator,Louisiana-Monroe,82,41,0.666666667,11
Doug Martin,New Mexico State,39,91,0.3,11
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
