Month,global warming
2011-01,87
2011-02,100
2011-03,91
2011-04,96
2011-05,90
2011-06,57
2011-07,44
2011-08,50
2011-09,65
2011-10,72
2011-11,87
2011-12,71
2012-01,70
2012-02,74
2012-03,81
2012-04,77
2012-05,66
2012-06,37
2012-07,44
2012-08,35
2012-09,53
2012-10,68
2012-11,85
2012-12,65
2013-01,55
2013-02,64
2013-03,60
2013-04,76
2013-05,75
2013-06,36
2013-07,27
2013-08,25
2013-09,50
2013-10,55
2013-11,57
2013-12,54
2014-01,74
2014-02,69
2014-03,65
2014-04,75
2014-05,82
2014-06,41
2014-07,28
2014-08,26
2014-09,58
2014-10,58
2014-11,67
2014-12,49
2015-01,51
2015-02,65
2015-03,67
2015-04,76
2015-05,68
2015-06,42
2015-07,30
2015-08,29
2015-09,54
2015-10,63
2015-11,71
2015-12,95
2016-01,51
2016-02,58
2016-03,63
2016-04,72
2016-05,63
2016-06,29
2016-07,23
2016-08,29
2016-09,48
2016-10,56
2016-11,85
2016-12,67
